b,PPn,RRn,TTn,PR,RT,PT,TPn
3,944,945,945,145,367,512,1456
4,928,933,927,150,361,511,1439
5,922,922,923,150,362,512,1434
6,889,923,922,184,361,545,1434
7,906,911,911,189,361,550,1456
8,950,905,900,144,356,500,1450
9,889,895,894,150,355,505,1394
10,889,889,889,150,355,505,1394
11,877,911,917,184,361,545,1422
12,967,933,928,150,356,506,1473
13,928,967,972,189,361,550,1478
14,994,989,989,184,361,545,1539
15,1028,1000,1000,156,361,517,1545
16,1006,1000,1005,150,366,516,1522
17,989,1022,1017,183,361,544,1533
18,1061,1028,1028,150,361,511,1572
19,1005,1039,1039,184,361,545,1550
20,1061,1027,1033,150,367,517,1578
21,1000,1000,1000,150,367,517,1517
22,956,984,989,178,372,550,1506
23,1017,989,983,150,366,516,1533
24,983,983,978,150,361,511,1494
25,978,972,978,144,367,511,1489
26,955,956,955,145,366,511,1466
27,961,961,961,145,366,511,1472
28,928,966,967,183,367,550,1478
29,956,962,956,189,361,550,1506
30,989,944,950,144,367,511,1500
31,933,939,927,150,355,505,1438
32,894,928,939,184,366,550,1444
33,956,955,956,183,367,550,1506
34,1005,967,967,145,367,512,1517
35,973,978,972,150,361,511,1484
36,955,989,989,184,361,545,1500
37,1017,983,989,150,367,517,1534
38,967,1000,1000,183,367,550,1517
39,1016,1017,1016,184,366,550,1566
40,1017,1022,1022,189,366,555,1572
41,1022,1016,1017,183,367,550,1572
42,1039,1006,1006,150,367,517,1556
43,983,978,977,145,366,511,1494
44,978,978,984,145,372,517,1495
45,967,972,966,150,366,516,1483
46,983,978,978,145,366,511,1494
47,961,966,961,150,361,511,1472
48,928,961,961,183,361,544,1472
49,961,956,967,178,372,550,1511
50,1000,972,967,150,367,517,1517
51,967,967,966,150,366,516,1483
52,950,978,978,178,366,544,1494
53,966,972,972,184,366,550,1516
54,1000,961,962,145,367,512,1512
55,928,972,972,189,367,556,1484
56,1011,967,966,145,366,511,1522
57,928,966,967,183,367,550,1478
58,1000,967,961,150,361,511,1511
59,956,956,956,150,361,511,1467
60,933,961,966,178,366,544,1477
61,956,961,962,183,367,550,1506
62,1000,967,961,150,361,511,1511
63,950,950,955,150,366,516,1466
64,938,938,928,150,356,506,1444
65,889,923,928,184,361,545,1434
