b,PPn,RRn,TTn,PR,RT,PT,TPn
3,842,844,842,132,340,472,1314
4,844,846,846,134,340,474,1318
5,846,848,846,136,338,474,1320
6,846,846,844,136,336,472,1318
7,850,848,850,134,338,472,1322
8,858,858,860,134,340,474,1332
9,858,858,858,134,340,474,1332
10,864,862,862,132,340,472,1336
11,866,868,868,134,340,474,1340
12,868,868,868,134,340,474,1342
13,872,876,876,138,340,478,1350
14,882,878,880,134,342,476,1358
15,900,900,900,134,342,476,1376
16,902,900,902,132,344,476,1378
17,892,896,894,136,342,478,1370
18,902,900,902,134,344,478,1380
19,900,900,900,134,344,478,1378
20,902,902,900,134,342,476,1378
21,906,906,908,134,344,478,1384
22,896,896,894,134,342,476,1372
23,894,894,894,134,342,476,1370
24,884,884,884,134,342,476,1360
25,886,888,888,136,342,478,1364
26,890,888,890,134,344,478,1368
27,888,890,888,136,342,478,1366
28,876,878,878,138,342,480,1356
29,880,876,878,134,344,478,1358
30,870,870,870,134,344,478,1348
31,862,864,862,136,342,478,1340
32,856,856,856,136,342,478,1334
33,850,850,848,136,340,476,1326
34,842,842,842,136,340,476,1318
35,826,826,828,136,342,478,1304
36,822,820,818,134,340,474,1296
37,826,828,828,136,340,476,1302
38,836,836,838,136,342,478,1314
39,850,848,850,134,344,478,1328
40,858,858,856,134,342,476,1334
41,864,866,868,136,344,480,1344
42,878,876,876,134,344,478,1356
43,896,894,896,132,346,478,1374
44,894,898,896,136,344,480,1374
45,898,898,898,136,344,480,1378
46,902,902,902,136,344,480,1382
47,908,906,906,134,344,478,1386
48,904,906,906,136,344,480,1384
49,910,908,910,134,346,480,1390
50,922,922,922,134,346,480,1402
51,914,916,916,136,346,482,1396
52,916,912,912,132,346,478,1394
53,904,908,904,136,342,478,1382
54,902,900,904,134,346,480,1382
55,890,892,890,136,344,480,1370
56,878,878,878,136,344,480,1358
57,862,860,860,134,344,478,1340
58,860,862,860,136,342,478,1338
59,862,862,860,136,340,476,1338
60,862,862,862,136,340,476,1338
61,868,866,870,134,344,478,1346
62,854,854,854,134,344,478,1332
63,846,846,846,134,344,478,1324
64,844,844,844,134,344,478,1322
65,850,852,848,136,340,476,1326
66,872,870,874,134,344,478,1350
67,898,900,898,136,342,478,1376
68,926,924,928,134,346,480,1406
69,936,936,934,134,344,478,1414
70,934,934,938,134,348,482,1416
71,932,930,928,132,346,478,1410
72,922,924,924,134,346,480,1402
73,924,924,924,134,346,480,1404
74,914,912,914,132,348,480,1394
75,906,910,906,136,344,480,1386
76,890,890,892,136,346,482,1372
77,884,882,880,134,344,478,1362
78,874,874,874,134,344,478,1352
79,874,872,872,132,344,476,1350
80,872,876,874,136,342,478,1350
81,876,874,878,134,346,480,1356
82,868,870,870,136,346,482,1350
83,862,862,860,136,344,480,1342
84,854,852,852,134,344,478,1332
85,846,848,850,136,346,482,1328
86,856,856,854,136,344,480,1336
87,866,866,866,136,344,480,1346
88,864,862,862,134,344,478,1342
89,870,872,872,136,344,480,1350
90,870,870,870,136,344,480,1350
91,878,878,880,136,346,482,1360
92,898,898,900,136,348,484,1382
93,896,894,892,134,346,480,1376
94,892,892,892,134,346,480,1372
95,888,890,890,136,346,482,1370
96,894,892,894,134,348,482,1376
97,890,890,888,134,346,480,1370
98,876,878,878,136,346,482,1358
99,872,872,872,136,346,482,1354
100,866,868,866,138,344,482,1348
101,870,868,868,136,344,480,1350
102,870,870,872,136,346,482,1352
103,884,882,882,134,346,480,1364
104,880,880,880,134,346,480,1360
105,876,876,876,134,346,480,1356
106,876,876,874,134,344,478,1354
107,880,882,884,136,346,482,1362
108,894,894,894,136,346,482,1376
109,904,900,902,132,348,480,1384
110,902,904,904,134,348,482,1384
111,902,902,904,134,350,484,1386
