b,PPn,RRn,TTn,PR,RT,PT,TPn
3,790,788,788,126,344,470,1260
4,794,794,792,126,342,468,1262
5,794,796,798,128,344,472,1266
6,798,796,796,126,344,470,1268
7,798,800,798,128,342,470,1268
8,804,802,804,126,344,470,1274
9,798,800,798,128,342,470,1268
10,802,802,804,128,344,472,1274
11,800,798,798,126,344,470,1270
12,802,802,802,126,344,470,1272
13,800,802,802,128,344,472,1272
14,804,802,802,126,344,470,1274
15,802,800,800,124,344,468,1270
16,792,794,794,126,344,470,1262
17,794,794,794,126,344,470,1264
18,794,794,792,126,342,468,1262
19,788,790,792,128,344,472,1260
20,796,794,794,126,344,470,1266
21,786,786,786,126,344,470,1256
22,790,790,790,126,344,470,1260
23,790,790,790,126,344,470,1260
24,792,790,790,124,344,468,1260
25,788,790,790,126,344,470,1258
26,790,788,790,124,346,470,1260
27,792,794,790,126,342,468,1260
28,786,788,788,128,342,470,1256
29,788,786,786,126,342,468,1256
30,788,786,788,124,344,468,1256
31,784,786,784,126,342,468,1252
32,784,786,786,128,342,470,1254
33,788,786,786,126,342,468,1256
34,790,788,790,124,344,468,1258
35,788,790,790,126,344,470,1258
36,792,792,792,126,344,470,1262
37,792,794,792,128,342,470,1262
38,794,792,792,126,342,468,1262
39,794,794,796,126,344,470,1264
40,792,792,790,126,342,468,1260
41,790,790,790,126,342,468,1258
42,786,788,788,128,342,470,1256
43,788,786,788,126,344,470,1258
44,786,786,786,126,344,470,1256
45,788,788,788,126,344,470,1258
46,792,792,792,126,344,470,1262
47,790,792,790,128,342,470,1260
48,790,790,790,128,342,470,1260
49,792,790,790,126,342,468,1260
50,788,786,788,124,344,468,1256
51,790,790,790,124,344,468,1258
52,784,788,786,128,342,470,1254
53,786,784,784,126,342,468,1254
54,780,782,782,128,342,470,1250
55,782,780,782,126,344,470,1252
56,780,782,780,128,342,470,1250
57,784,784,782,128,340,468,1252
58,784,784,786,128,342,470,1254
59,780,778,778,126,342,468,1248
60,778,778,778,126,342,468,1246
61,782,782,782,126,342,468,1250
62,780,780,780,126,342,468,1248
63,780,782,780,128,340,468,1248
64,784,782,784,126,342,468,1252
65,780,780,780,126,342,468,1248
66,782,782,782,126,342,468,1250
67,780,782,780,128,340,468,1248
68,786,784,786,126,342,468,1254
69,788,790,790,128,342,470,1258
70,788,784,786,124,344,468,1256
71,790,794,792,128,342,470,1260
72,796,794,794,126,342,468,1264
73,798,798,800,126,344,470,1268
74,800,802,800,128,342,470,1270
75,796,794,796,126,344,470,1266
76,800,800,800,126,344,470,1270
77,800,800,800,126,344,470,1270
78,802,802,804,126,346,472,1274
79,802,804,802,128,344,472,1274
80,800,798,798,126,344,470,1270
81,804,802,804,124,346,470,1274
82,800,802,800,126,344,470,1270
83,804,804,804,126,344,470,1274
84,800,800,802,126,346,472,1272
85,796,798,796,128,344,472,1268
86,794,792,792,126,344,470,1264
87,794,794,794,126,344,470,1264
88,790,792,790,128,342,470,1260
89,792,790,790,126,342,468,1260
90,792,794,794,128,342,470,1262
91,786,784,788,126,346,472,1258
92,790,790,788,126,344,470,1260
93,788,788,790,126,346,472,1260
94,792,794,790,128,342,470,1262
95,796,794,796,126,344,470,1266
96,794,794,792,126,342,468,1262
97,792,792,792,126,342,468,1260
98,794,796,798,128,344,472,1266
99,800,798,796,126,342,468,1268
100,798,798,800,126,344,470,1268
101,796,796,796,126,344,470,1266
102,798,798,798,126,344,470,1268
103,800,802,800,128,342,470,1270
104,802,800,800,126,342,468,1270
105,802,804,804,128,342,470,1272
106,804,802,806,126,346,472,1276
107,798,798,798,126,346,472,1270
108,800,800,800,126,346,472,1272
109,800,800,798,126,344,470,1270
110,800,800,802,126,346,472,1272
111,800,800,798,126,344,470,1270
112,798,796,798,124,346,470,1268
113,802,804,802,126,344,470,1272
114,798,800,800,128,344,472,1270
115,802,800,802,126,346,472,1274
116,798,798,796,126,344,470,1268
117,794,796,796,128,344,472,1266
118,798,796,798,126,346,472,1270
119,796,794,792,124,344,468,1264
120,792,794,794,126,344,470,1262
121,788,788,786,126,342,468,1256
122,788,790,790,128,342,470,1258
123,788,784,786,124,344,468,1256
124,788,790,788,126,342,468,1256
125,790,792,792,128,342,470,1260
126,782,780,780,126,342,468,1250
127,782,782,782,126,342,468,1250
128,780,782,782,128,342,470,1250
129,782,780,780,126,342,468,1250
130,784,782,784,124,344,468,1252
131,780,782,782,126,344,470,1250
132,778,778,776,126,342,468,1246
133,784,784,784,126,342,468,1252
134,782,784,784,128,342,470,1252
135,786,784,784,126,342,468,1254
136,782,782,784,126,344,470,1252
137,786,786,786,126,344,470,1256
138,788,786,784,124,342,466,1254
139,788,790,790,126,342,468,1256
140,788,790,790,128,342,470,1258
141,790,788,790,126,344,470,1260
142,786,784,782,124,342,466,1252
143,792,794,794,126,342,468,1260
144,790,790,790,126,342,468,1258
145,790,792,792,128,342,470,1260
146,792,790,792,126,344,470,1262
147,788,788,788,126,344,470,1258
148,790,792,792,128,344,472,1262
149,794,792,790,126,342,468,1262
150,794,794,796,126,344,470,1264
151,798,800,798,128,342,470,1268
152,794,794,794,128,342,470,1264
153,792,790,792,126,344,470,1262
154,792,792,792,126,344,470,1262
155,790,792,792,128,344,472,1262
156,792,792,792,128,344,472,1264
157,792,790,790,126,344,470,1262
158,790,790,790,126,344,470,1260
159,794,794,792,126,342,468,1262
160,790,792,792,128,342,470,1260
161,794,792,794,126,344,470,1264
162,792,792,792,126,344,470,1262
163,796,796,794,126,342,468,1264
164,798,796,798,124,344,468,1266
165,796,800,800,128,344,472,1268
166,798,798,796,128,342,470,1268
167,798,796,798,126,344,470,1268
168,798,798,796,126,342,468,1266
169,794,796,798,128,344,472,1266
170,800,800,800,128,344,472,1272
171,798,798,796,128,342,470,1268
172,800,798,798,126,342,468,1268
173,794,794,794,126,342,468,1262
174,792,792,792,126,342,468,1260
175,794,794,794,126,342,468,1262
176,790,790,792,126,344,470,1260
177,792,794,792,128,342,470,1262
178,788,788,788,128,342,470,1258
179,792,790,792,126,344,470,1262
180,788,790,788,128,342,470,1258
181,790,788,790,126,344,470,1260
182,792,790,790,124,344,468,1260
183,788,792,790,128,342,470,1258
184,794,794,794,128,342,470,1264
185,796,792,794,124,344,468,1264
186,796,798,796,126,342,468,1264
187,798,800,800,128,342,470,1268
188,796,796,796,128,342,470,1266
189,798,796,796,126,342,468,1266
190,794,794,796,126,344,470,1264
191,792,792,792,126,344,470,1262
192,790,790,790,126,344,470,1260
193,786,786,786,126,344,470,1256
194,784,784,782,126,342,468,1252
195,782,780,780,124,342,466,1248
196,780,782,782,126,342,468,1248
197,780,780,780,126,342,468,1248
198,780,780,780,126,342,468,1248
199,784,784,782,126,340,466,1250
200,780,780,782,126,342,468,1248
201,784,786,786,128,342,470,1254
202,786,786,784,128,340,468,1254
203,786,782,786,124,344,468,1254
204,786,788,786,126,342,468,1254
205,786,786,786,126,342,468,1254
206,788,790,788,128,340,468,1256
207,790,790,792,128,342,470,1260
208,788,786,786,126,342,468,1256
209,792,792,792,126,342,468,1260
210,790,790,790,126,342,468,1258
211,792,794,794,128,342,470,1262
212,800,800,800,128,342,470,1270
213,794,792,794,126,344,470,1264
214,796,798,794,128,340,468,1264
215,796,794,798,126,344,470,1266
216,800,800,798,126,342,468,1268
217,804,802,804,124,344,468,1272
218,800,800,800,124,344,468,1268
219,802,804,802,126,342,468,1270
220,798,798,800,126,344,470,1268
221,796,796,794,126,342,468,1264
222,794,794,794,126,342,468,1262
223,788,788,788,126,342,468,1256
224,788,786,786,124,342,466,1254
225,782,784,784,126,342,468,1250
226,784,784,782,126,340,466,1250
227,786,786,788,126,342,468,1254
228,786,786,786,126,342,468,1254
229,788,788,786,126,340,466,1254
