b,PPn,RRn,TTn,PR,RT,PT,TPn
3,1140,1140,1140,136,286,422,1562
4,1142,1144,1144,138,286,424,1566
5,1100,1096,1096,134,286,420,1520
6,1054,1054,1052,134,284,418,1472
7,1064,1064,1066,134,286,420,1484
8,1092,1092,1094,134,288,422,1514
9,1104,1106,1104,136,286,422,1526
10,1122,1122,1122,136,286,422,1544
11,1162,1162,1162,136,286,422,1584
12,1192,1192,1194,136,288,424,1616
13,1202,1202,1202,136,288,424,1626
14,1208,1210,1208,138,286,424,1632
15,1176,1174,1174,136,286,422,1598
16,1190,1188,1190,134,288,422,1612
17,1178,1178,1178,134,288,422,1600
18,1154,1156,1154,136,286,422,1576
19,1112,1112,1110,136,284,420,1532
20,1130,1128,1130,134,286,420,1550
21,1138,1138,1140,134,288,422,1560
22,1154,1156,1154,136,286,422,1576
23,1144,1144,1144,136,286,422,1566
24,1134,1134,1132,136,284,420,1554
25,1146,1146,1150,136,288,424,1570
26,1138,1136,1136,134,288,422,1560
27,1122,1122,1122,134,288,422,1544
28,1088,1088,1086,134,286,420,1508
29,1072,1074,1074,136,286,422,1494
30,1092,1092,1092,136,286,422,1514
31,1106,1106,1106,136,286,422,1528
32,1112,1114,1114,138,286,424,1536
33,1102,1098,1096,134,284,418,1520
34,1124,1126,1130,136,288,424,1548
35,1150,1148,1148,134,288,422,1572
36,1150,1152,1152,136,288,424,1574
37,1138,1136,1136,134,288,422,1560
38,1140,1142,1142,136,288,424,1564
39,1154,1152,1150,134,286,420,1574
40,1154,1156,1156,136,286,422,1576
41,1142,1142,1142,136,286,422,1564
42,1128,1128,1128,136,286,422,1550
43,1160,1158,1162,134,290,424,1584
44,1156,1158,1156,136,288,424,1580
45,1132,1130,1128,134,286,420,1552
46,1092,1094,1092,136,284,420,1512
47,1068,1068,1068,136,284,420,1488
48,1070,1070,1072,136,286,422,1492
49,1068,1068,1068,136,286,422,1490
50,1076,1074,1072,134,284,418,1494
51,1138,1142,1144,138,286,424,1562
52,1182,1180,1182,136,288,424,1606
53,1188,1190,1188,138,286,424,1612
54,1178,1176,1178,136,288,424,1602
55,1200,1200,1200,136,288,424,1624
56,1210,1210,1212,136,290,426,1636
57,1194,1194,1192,136,288,424,1618
58,1158,1156,1156,134,288,422,1580
59,1162,1162,1162,134,288,422,1584
60,1156,1160,1160,138,288,426,1582
61,1148,1146,1144,136,286,422,1570
62,1122,1122,1122,136,286,422,1544
63,1120,1120,1122,136,288,424,1544
64,1102,1102,1102,136,288,424,1526
65,1068,1066,1064,134,286,420,1488
66,1046,1048,1046,136,284,420,1466
67,1096,1096,1098,136,286,422,1518
68,1136,1134,1138,134,290,424,1560
69,1146,1146,1142,134,286,420,1566
70,1124,1126,1126,136,286,422,1546
71,1158,1160,1162,138,288,426,1584
72,1166,1164,1162,136,286,422,1588
73,1162,1160,1162,134,288,422,1584
74,1158,1158,1158,134,288,422,1580
75,1164,1164,1166,134,290,424,1588
76,1144,1146,1142,136,286,422,1566
77,1130,1130,1132,136,288,424,1554
78,1156,1156,1156,136,288,424,1580
