b,PPn,RRn,TTn,PR,RT,PT,TPn
3,1050,1050,1072,183,380.5,555,1605
4,1061,1061,1067,183.5,387.25,561,1622
5,1044,1045,1061,180.25,394,569,1622
6,1034,1031,1030.5,179.125,400,565,1611
7,1020,1021,1026.75,181.062,397.5,561,1597.5
8,1035,1019,1013.375,165.531,395,544.5,1587.75
9,1050,1015,1017.688,150,392,528,1568.875
10,1038.5,1018.5,1016.844,164,389,572,1578.438
11,1022.25,1014.75,997.422,173.5,369.5,561,1588
12,1022.125,1018.375,1001.711,178.25,351.75,533,1563.5
13,1019.562,1023.188,1031.355,186.125,359.375,547,1570.75
14,959.781,1025.594,1061,254.062,379.688,561,1596.375
15,1079.891,1026.797,1061,202.031,400,550,1622
16,1200,1027.398,1127.5,150,389,539,1739
17,1033,1032.699,1194,145,375.5,611.5,1733
18,1066.5,1024.85,1124.5,192,387.75,625.25,1736
19,1100,1015.425,1055,182.5,400,604.625,1739
20,1072,1010.212,1016.5,213.25,392,616.312,1656
21,1069,1005.106,1013.75,195.625,393.5,594.656,1647.5
22,1066,1002.553,1003.875,192.312,395,573,1639
23,958,987.277,974.438,251.656,389,623,1581
24,1029,985.638,975.719,223.328,372,586.5,1615.5
25,1100,975.819,987.859,255.664,380.5,550,1650
26,1105.5,968.91,971.93,197.332,389,536,1641.5
27,1111,967.455,1007.965,170.666,425,570.5,1633
28,955.5,967.227,1044,144,407,635.25,1566.5
29,1038.75,961.114,986,144,389,570.625,1597.25
30,1122,964.057,956.5,144,355.5,518.312,1628
31,1041.5,962.528,950.75,144,330.75,484.156,1519.5
32,1009.75,967.264,1008.375,144,365.375,511.078,1517.75
33,987.875,970.132,1066,144.5,400,538,1508.875
34,979.938,971.066,1019,145,389,534,1507.438
35,978.969,971.533,1001,145,389,534,1512.219
36,975.484,974.767,986.5,145,400,539,1511.609
37,974.242,970.883,973.75,145,394,539,1505.805
38,978.621,979.442,986.875,144.5,388,527,1516.402
39,969.811,970.721,965.938,144,400,544,1502.701
40,968.405,968.36,971.969,145,397.5,528,1504.351
41,973.203,973.18,977.484,144,395,539,1513.175
42,969.601,970.09,972.242,144,400,544,1512.088
43,968.301,968.045,969.121,145,400,545,1511.544
44,967.65,967.523,968.061,144,400,544,1511.272
45,961.325,958.761,964.53,144,400,544,1508.136
46,955.663,957.381,954.765,144.5,400,550,1501.568
47,950.331,947.69,952.383,145,400,545,1498.284
48,950.166,951.845,951.191,144.5,403,550,1499.142
49,950.083,950.923,944.596,144,406,550,1493.571
50,952.541,953.461,958.798,144,394,538,1502.285
51,951.271,954.231,956.899,145,402.5,556,1506.643
52,948.135,946.615,953.449,150,412.25,561,1508.821
53,954.568,953.808,951.725,144,411.625,566,1512.411
54,954.784,951.904,953.862,144,414.312,555,1511.705
55,957.892,959.452,957.431,144.5,412.656,556,1514.353
56,953.946,957.226,956.216,145,411.828,556,1512.676
57,954.973,953.613,953.108,150,411.414,561,1511.838
58,946.986,946.306,940.554,144,405.707,555,1497.419
59,945.493,945.653,939.777,144,400,544,1490.21
60,939.747,939.327,942.388,145,394,539,1487.105
61,936.373,933.663,937.694,144,406,550,1485.052
62,932.187,933.332,927.347,144,400.5,550,1476.026
63,929.593,927.666,924.674,144,395,539,1468.513
64,928.797,927.833,926.337,141.5,395,534,1465.257
65,925.398,924.916,926.668,140.25,395,534,1463.128
66,918.699,920.958,921.834,142.125,400,539,1459.564
67,917.35,918.979,916.417,144,400,544,1457.282
68,922.675,920.49,916.709,145,394,539,1456.641
69,922.337,924.245,922.354,145,389,528,1456.321
70,919.669,917.622,922.177,145,389,534,1456.16
71,918.334,919.811,919.089,144.5,400,539,1455.58
72,917.167,918.406,912.544,144,394,538,1449.79
73,919.584,917.203,917.272,145,391.5,528,1449.895
74,915.792,917.101,914.136,144.5,389,528,1444.448
75,913.396,911.551,915.568,144,391.5,527,1444.224
76,909.198,908.275,907.784,141.5,394,533,1438.612
77,904.599,907.138,900.892,143.25,389,528,1430.306
78,902.299,903.569,900.446,145,383,525,1426.153
79,898.65,898.784,903.223,145,386,529,1427.076
80,896.325,896.892,893.112,144,389,533,1421.538
81,895.662,895.446,894.056,145,383.5,527.5,1419.269
82,891.831,889.223,888.528,144,380.75,522.25,1412.135
83,887.916,889.112,888.764,144,379.375,522.125,1409.067
84,885.458,886.556,885.882,144,378.188,522.062,1407.034
85,884.229,884.778,887.441,145,380.594,525.031,1409.017
86,886.614,883.889,882.72,145,379.297,528,1407.508
87,882.307,880.944,880.36,142,378.648,522.5,1401.254
88,880.154,879.472,881.68,140.5,380.824,522.25,1400.627
89,881.577,884.236,882.34,142.75,378.912,522.125,1402.814
90,885.288,886.618,883.17,145,375.456,519.562,1404.407
91,887.144,887.309,886.085,145,374.228,518.281,1405.203
92,888.072,882.655,884.543,144,376.114,514.641,1402.602
93,888.536,888.827,889.271,141.5,376.557,515.32,1403.801
94,891.268,891.414,889.136,140.25,374.279,513.16,1404.4
95,893.134,893.207,892.068,139.625,373.139,512.08,1405.2
96,891.067,890.603,893.034,138.812,375.57,514.04,1405.1
97,889.534,892.802,891.017,141.906,373.785,515.52,1405.05
98,889.267,890.901,890.008,145,372.892,516.26,1405.525
99,889.133,889.95,889.504,145,372.446,516.63,1405.763
100,889.067,886.475,889.252,145,375.223,516.815,1405.881
101,886.033,884.738,886.126,142,376.612,516.908,1402.941
102,885.017,884.369,882.063,140.5,374.306,513.954,1398.97
103,887.008,886.684,885.532,139.75,373.153,512.477,1399.485
104,888.004,887.342,887.266,138.875,373.076,511.738,1399.743
105,882.502,885.671,882.133,141.938,369.538,511.369,1393.871
106,885.751,887.336,888.566,145,370.769,514.185,1399.936
107,887.376,888.168,888.783,145,371.385,515.592,1402.968
108,888.188,885.584,885.892,145,371.692,513.296,1401.484
109,888.594,889.792,887.446,144.5,369.346,512.148,1400.742
110,888.797,889.396,890.723,144,370.673,514.074,1402.871
111,885.898,886.698,884.361,144,368.337,512.537,1398.435
112,884.449,884.849,884.181,145,367.668,512.269,1396.718
113,881.225,881.424,880.59,145,366.834,511.634,1392.859
114,882.612,879.212,882.295,145,369.917,511.317,1393.929
115,877.306,878.606,877.148,144.5,368.459,511.159,1388.465
116,883.153,878.303,880.074,144,370.229,508.079,1391.232
117,877.577,878.152,876.037,141.5,368.115,506.54,1384.116
118,874.788,875.076,874.518,140.25,367.557,506.27,1381.058
119,876.394,876.538,875.759,139.625,366.779,505.635,1382.029
120,877.197,877.269,874.38,139.312,363.889,502.817,1380.015
121,877.099,880.134,878.69,142.156,362.445,504.409,1381.507
122,880.549,879.067,880.845,145,364.222,504.704,1385.254
123,881.775,881.034,882.422,142,365.611,505.352,1387.127
124,882.387,882.017,882.711,140.5,366.306,505.676,1388.063
125,880.194,880.008,882.856,139.75,369.153,508.338,1388.532
126,882.097,881.504,880.428,138.875,368.076,506.669,1388.766
127,882.548,882.752,881.714,138.938,367.038,505.835,1388.383
128,880.274,882.876,879.857,141.469,364.019,505.417,1385.691
129,881.637,880.438,881.928,144,365.51,505.709,1387.346
130,885.319,884.719,884.964,141.5,365.755,505.354,1390.673
131,887.159,889.36,886.982,142.75,363.377,505.177,1392.336
132,890.58,889.18,887.991,144,362.189,502.589,1393.168
133,889.79,889.09,893.996,141.5,367.094,506.794,1396.584
134,886.395,889.045,888.998,143.25,367.047,509.397,1395.792
135,885.197,886.022,885.999,145,367.024,510.199,1395.396
136,887.099,885.011,881.999,144,364.012,505.099,1392.198
137,885.049,881.006,882.5,138.5,365.506,502.55,1387.599
138,878.525,882.503,880.25,141.75,363.253,504.275,1382.8
139,881.262,877.251,884.625,145,370.626,507.637,1388.9
140,879.131,880.126,878.312,142,368.813,506.819,1385.95
141,878.566,882.063,878.156,143.5,364.907,506.409,1384.975
142,886.783,885.031,886.078,145,365.953,505.705,1392.487
143,884.891,884.516,887.539,142,368.977,508.352,1393.244
144,886.946,886.758,890.77,140.5,372.988,512.176,1399.122
145,890.473,890.379,895.385,139.75,377.994,517.088,1407.561
146,895.236,898.189,895.192,142.375,374.997,517.044,1412.28
147,900.618,899.095,903.096,145,378.999,519.522,1420.14
148,905.809,907.547,912.548,144.5,383.999,526.261,1432.07
149,911.405,909.274,914.774,144,389,533,1441.035
