b,PPn,RRn,TTn,PR,RT,PT,TPn
3,905,833,839,150,261,411,1316
4,833,828,822,145,255,400,1233
5,828,833,839,150,261,411,1239
6,800,822,823,172,262,434,1234
7,861,834,827,145,255,400,1261
8,811,833,834,167,256,423,1234
9,828,828,833,167,261,428,1256
10,850,833,833,150,261,411,1261
11,834,828,823,144,256,400,1234
12,800,828,827,172,255,427,1227
13,850,828,828,150,255,405,1255
14,816,816,817,150,256,406,1222
15,817,817,816,150,255,405,1222
16,800,817,817,167,255,422,1222
17,833,816,817,150,256,406,1239
18,822,817,822,145,261,406,1228
19,817,822,817,150,256,406,1223
20,789,817,816,178,255,433,1222
21,861,833,834,150,256,406,1267
22,806,833,833,177,256,433,1239
23,855,828,828,150,256,406,1261
24,845,839,839,144,256,400,1245
25,822,833,833,155,256,411,1233
26,855,845,850,145,261,406,1261
27,839,844,844,150,261,411,1250
28,817,845,845,178,261,439,1256
29,878,844,844,144,261,405,1283
30,839,845,839,150,255,405,1244
31,839,844,845,155,256,411,1250
32,844,839,839,150,256,406,1250
33,839,839,844,150,261,411,1250
34,833,828,822,145,255,400,1233
35,828,833,828,150,250,400,1228
36,819.5,817,822,147.5,255,402.5,1222
37,805,805,772,147.5,252.5,369.5,1174.5
38,870.75,811,839,144.5,250,383,1208.5
39,936.5,795,800,141.5,255,396.5,1333
40,914.25,783,784,127.75,256,369.25,1180.5
41,892,778,750,114,255.5,420.625,1234
42,871,778,805,217,255,472,1147
43,850,772,756,139,252.5,378,1228
44,767,772,783,144,250,394,1161
45,766,761,767,139,256,395,1161
46,745,772,772,166,256,422,1167
47,816,789,789,139,256,395,1211
48,800,806,805,145,255,400,1200
49,817,817,817,145,255,400,1217
50,833,833,833,145,255,400,1233
51,828,828,828,145,255,400,1228
52,822,822,822,145,255,400,1222
53,828,828,828,145,255,400,1228
54,834,833,834,144,256,400,1234
55,838,839,838,145,255,400,1238
56,839,839,839,145,255,400,1239
57,834,839,839,150,255,405,1239
58,822,844,839,172,250,422,1244
59,861,850,861,161,261,422,1283
60,856,845,845,150,261,411,1267
61,855,850,844,145,255,400,1255
62,856,855,856,144,256,400,1256
63,850,850,855,144,261,405,1255
64,855,861,856,150,256,406,1261
65,817,845,844,178,255,433,1250
66,883,850,850,145,255,400,1283
67,817,855,856,183,256,439,1256
68,855,856,855,184,255,439,1294
69,845,850,845,189,250,439,1284
70,867,855,866,177,261,438,1305
71,877,856,845,156,250,406,1283
72,850,850,855,156,255,411,1261
73,823,850,850,183,255,438,1261
74,922,833,834,183,256,438.5,1272
75,761,850,850,183,256,439,1200
76,867,834,839,150,261,411,1278
77,800,833,822,183,250,433,1233
78,866,828,833,145,255,400,1266
79,811,816,822,150,261,411,1222
80,806,834,823,178,250,428,1234
81,855,822,827,145,255,400,1255
82,839,839,839,145,255,400,1239
83,839,839,839,145,255,400,1239
84,795,827,828,177,256,433,1228
85,822,828,828,183,256,439,1261
86,833,834,833,184,255,439,1272
87,872,838,845,150,262,412,1284
88,823,834,827,161,255,416,1239
89,844,833,834,150,256,406,1250
90,806,828,833,172,261,433,1239
91,850,828,822,150,255,405,1255
92,811,833,834,172,256,428,1239
93,855,828,827,145,255,400,1255
94,834,839,845,150,261,411,1245
95,844,844,839,150,256,406,1250
96,839,845,844,156,255,411,1250
97,833,844,850,167,261,428,1261
98,856,844,845,155,262,417,1273
99,800,834,827,189,255,444,1244
100,867,833,828,155,250,405,1272
101,838,828,833,145,255,400,1238
102,795,822,817,172,250,422,1217
103,811,822,828,183,256,439,1250
104,828,823,822,178,255,433,1261
105,833,816,817,161,256,417,1250
106,806,828,828,183,256,439,1245
107,839,833,827,177,250,427,1266
108,850,828,834,155,256,411,1261
109,838,828,827,145,255,400,1238
110,828,833,834,150,256,406,1234
111,806,822,822,166,256,422,1228
112,850,828,828,144,256,400,1250
113,822,828,828,150,256,406,1228
114,806,828,822,172,250,422,1228
115,816,822,828,178,256,434,1250
116,834,828,827,172,255,427,1261
117,844,822,823,150,256,406,1250
118,756,828,827,150,255,477,1233
119,883,811,811,150,255,405,1288
120,885.5,822,823,164,256,416.5,1228
121,888,811,805,178,250,428,1316
122,850,822,828,150,256,406,1256
123,789,812,811,173,255,428,1217
124,850,822,828,145,261,406,1256
125,789,822,817,178,256,434,1223
126,850,811,811,139,256,395,1245
127,806,822,822,155,256,411,1217
128,783,811,811,183,256,439,1222
129,828,817,817,172,256,428,1256
130,839,806,811,139,261,400,1239
131,811,816,811,144,256,400,1211
132,772,817,817,189,256,445,1217
133,839,817,816,167,255,422,1261
134,817,827,828,177,256,433,1250
135,822,817,817,172,256,428,1250
136,828,839,833,183,250,433,1261
137,866,828,833,145,255,400,1266
138,806,839,839,178,255,433,1239
139,855,827,828,150,256,406,1261
140,839,839,844,150,261,411,1250
141,811,839,834,178,256,434,1245
142,878,845,839,145,250,395,1273
143,806,833,839,172,256,428,1234
144,850,828,827,150,255,405,1255
145,833,828,828,145,255,400,1233
146,828,827,828,144,256,400,1228
147,886,828,822,163.5,250,419.5,1222
148,944,822,828,183,256,439,1383
149,839,828,828,172,256,428,1267
150,844,828,827,156,255,411,1255
151,834,828,823,150,250,400,1234
152,794,822,827,178,255,433,1227
153,789,828,828,217,255,472,1261
154,867,827,828,177,256,433,1300
155,833,834,833,178,255,433,1266
156,861,833,834,150,256,406,1267
157,828,828,827,150,255,405,1233
158,800,822,823,172,256,428,1228
159,839,839,839,172,256,428,1267
160,816,828,816,184,244,428,1244
161,845,844,861,183,261,444,1289
162,839,834,839,178,266,444,1283
163,841.5,844,828,180.5,250,430.5,1272
164,869.5,833,839,144,256,400,1269.5
165,822,828,828,150,256,406,1228
166,874.5,833,827,164,250,420,1233
167,927,817,823,178,256,434,1361
168,751,806,805,158.5,255,414,1239
169,905,811,811,139,255,394,1299
170,778,800,795,161,250,411,1189
171,755,805,811,211,256,467,1222
172,845,795,789,161,250,411,1256
173,750,811,816,169,255,477,1227
174,850,805,800,177,250,427,1277
175,755,800,800,163.5,250,472,1227
176,872,800,806,150,256,406,1278
177,806,834,822,178,244,422,1228
178,825,811,822,164,255,419,1244
179,808,822,828,178,261,439,1247
180,845,817,811,150,255,405,1250
181,800,816,811,166,250,416,1216
182,811,817,806,172,252.5,411,1222
183,755,806,822,191.5,255,478,1233
184,812,800,800,211,255,466,1278
185,833,800,795,178,250,428,1261
186,811,789,789,156,250,406,1217
187,844.5,783,794,150,261,400,1200
188,878,783,772,144,250,394,1272
189,772,784,789,156,255,411,1183
190,778,766,761,144,250,394,1172
191,772,778,784,150,256,406,1178
192,817,806,777,139,253,400.5,1183
193,777,783,806,145,250,395,1172
194,789,794,794,150,250,400,1189
195,806,800,806,144,256,400,1206
196,739,795,794,200,255,455,1194
197,833,800,800,167,255,422,1255
198,822,805,800,150,250,400,1222
199,806,806,811,150,255,405,1211
200,778,805,800,177,250,427,1205
201,833,806,812,150,256,406,1239
202,806,806,805,150,255,405,1211
203,800,794,795,144,256,400,1200
204,805,806,805,145,255,400,1205
205,800.5,800,800,144.5,255,399.5,1200
206,788.5,827,822,183,250,433,1221.5
207,861,856,856,178,250,428,1289
208,828,828,833,178,255,433,1261
209,850,844,845,172,256,428,1278
210,872,845,844,145,255,400,1272
211,817,850,850,178,255,433,1250
212,872,844,839,150,250,400,1272
213,833,833,839,150,256,406,1239
214,811,834,828,173,250,423,1234
215,856,827,833,144,256,400,1256
216,822,823,822,145,255,400,1222
217,817,827,822,155,250,405,1222
218,822,817,817,150,250,400,1222
219,811,828,828,167,250,417,1228
220,811,811,817,167,256,423,1234
221,839,817,811,145,250,395,1234
222,806,805,805,144,250,394,1200
223,772,795,800,167,255,422,1194
224,817,805,800,155,250,405,1222
225,783,800,800,172,250,422,1205
226,811,800,806,161,256,417,1228
227,811,795,794,145,255,400,1211
228,778,794,795,161,256,417,1195
229,806,795,794,150,255,405,1211
230,794,794,789,150,250,400,1194
231,822,778,783,206,255,461,1183
232,850,783,789,139,261,400,1250
233,767,789,784,161,256,417,1184
234,794,783,783,150,256,406,1200
235,817,817,805,150,244,394,1211
236,806,806,812,150,250,400,1206
237,805,800,800,145,250,395,1200
238,806,805,811,144,256,400,1206
239,789,817,811,172,250,422,1211
240,838,822,822,156,250,406,1244
241,823,822,822,155,250,405,1228
242,839,828,828,144,250,394,1233
243,800,828,828,172,250,422,1222
244,844,822,822,150,250,400,1244
245,811,839,839,178,250,428,1239
246,850,822,822,150,250,400,1250
247,828,828,828,150,250,400,1228
248,822,822,828,150,256,406,1228
249,880.5,828,827,167,255,420,1233
250,939,828,823,184,250,434,1373
251,861,822,822,145,250,395,1256
252,795,828,833,178,255,433,1228
253,839,827,817,166,245,411,1250
254,772,823,833,217,255,472,1244
255,858.5,833,828,191.5,250,441.5,1300
256,791.5,828,828,170.75,250,478,1269.5
257,900,822,822,150,250,400,1300
258,822,828,828,156,250,406,1228
259,795,816,816,177,250,427,1222
260,850,817,823,144,256,400,1250
261,805,806,805,145,255,400,1205
262,784,805,806,166,256,422,1206
263,822,806,800,150,250,400,1222
264,803,811,816,158,255,413,1216
265,813,817,812,162,250,412,1225
266,750,822,822,158.5,250,408.5,1234
267,895,816,816,155,250,405,1300
268,805,828,834,178,256,434,1239
269,839,839,839,178,256,434,1273
270,850,850,844,178,250,428,1278
271,856,850,856,172,256,428,1284
272,850,850,850,172,256,428,1278
273,850,850,850,172,256,428,1278
274,844,845,844,173,255,428,1272
275,873,855,856,155,256,411,1284
276,830,839,772,164,256,415.5,1183
277,850,850,917,164,256,420,1270
278,792,839,833,211,250,461,1253
279,900,844,850,155,256,411,1311
280,844,839,833,150,250,400,1244
281,850,839,839,139,250,389,1239
282,827.5,833,833,144.5,250,394.5,1222
283,828,828,823,144.5,245,389.5,1217.5
284,822,822,827,144.5,250,394.5,1216.5
