representacion,d,C_observado,C_null_media,C_null_std,C_null_q025,C_null_mediana,C_null_q975
alturas_MIDI,0,1.0,1.0,0.0,1.0,1.0,1.0
alturas_MIDI,1,0.5283679283679283,0.5271739194139191,0.0024043940194575794,0.5229141229141229,0.527089947089947,0.5323565323565324
alturas_MIDI,2,0.38134310134310134,0.27787153439153456,0.00322975737150563,0.27156654456654455,0.27793243793243794,0.2842006512006512
alturas_MIDI,3,0.2701831501831502,0.14645727309727324,0.00320661942491524,0.14077248677248677,0.14624338624338623,0.15301587301587302
alturas_MIDI,4,0.18474562474562475,0.07717741961741971,0.0027303108132279213,0.0722991452991453,0.07695563695563695,0.08296377696377696
alturas_MIDI,5,0.12433048433048433,0.04066070818070824,0.0021310876044630593,0.03692226292226292,0.04048026048026048,0.04520960520960521
alturas_MIDI,6,0.09312169312169312,0.021417908017907994,0.0015596080907481777,0.018575091575091573,0.021294261294261294,0.024924704924704926
alturas_MIDI,7,0.06772486772486773,0.01127433455433454,0.0011003701136944283,0.009344322344322345,0.011184371184371185,0.013805860805860805
alturas_MIDI,8,0.047586487586487584,0.0059291656491656415,0.0007615090276667552,0.004606837606837607,0.005860805860805861,0.007651607651607652
alturas_MIDI,9,0.033113553113553115,0.003116532356532355,0.0005188779447088042,0.00222995522995523,0.003076923076923077,0.004250305250305249
alturas_MIDI,10,0.026161986161986162,0.0016378510378510383,0.00035396278436716766,0.0010419210419210418,0.0016117216117216117,0.002442409442409442
intervalos,0,1.0,1.0,0.0,1.0,1.0,1.0
intervalos,1,0.7535161686451085,0.5528274252967653,0.015418168680166008,0.5224989766680311,0.552959476054032,0.5818100695865739
intervalos,2,0.5478018829308228,0.3318129349160862,0.01710683662946663,0.30013630781825623,0.3317396643471142,0.36511952517396645
intervalos,3,0.38180925092099877,0.20319430208759715,0.015296518595444288,0.17589562013917315,0.20273434302087598,0.23376668031109293
intervalos,4,0.2587146950470733,0.12508134261154316,0.012384345305975254,0.1033606221858371,0.12428980761358985,0.15011174785100287
intervalos,5,0.19338518215309047,0.07712702415063451,0.009505854637986328,0.06072615636512484,0.07621776504297995,0.09684977486696683
intervalos,6,0.14067949242734343,0.04758711420384773,0.007054905139153065,0.035886614817846905,0.04681948424068768,0.06258370855505525
intervalos,7,0.09982808022922636,0.029373655341792884,0.005142656997647407,0.02108595988538682,0.028751534997953337,0.04066270978305361
intervalos,8,0.07125665165779779,0.018140777732296342,0.003703946560845682,0.012212443716741711,0.017724109701187065,0.02628489562013917
intervalos,9,0.05932050757265657,0.011207155137126478,0.002637542531588397,0.007039705280392959,0.010888252148997135,0.01717928776094965
intervalos,10,0.048808841588211214,0.006923962341383556,0.0018651868029952354,0.004043798608268523,0.006672124437167417,0.011266066311911583
