representacion,shuffle,m,mPE_null
alturas_MIDI,1,2,0.9357209404045621
alturas_MIDI,1,3,2.2565673349603177
alturas_MIDI,1,4,3.7712854224317587
alturas_MIDI,1,5,4.930871725967214
alturas_MIDI,1,6,5.449731111268999
alturas_MIDI,1,7,5.5702960198971265
alturas_MIDI,2,2,0.9416179496377419
alturas_MIDI,2,3,2.289113734627863
alturas_MIDI,2,4,3.8314936068100387
alturas_MIDI,2,5,4.994901453425968
alturas_MIDI,2,6,5.47938898522115
alturas_MIDI,2,7,5.585814240357424
alturas_MIDI,3,2,0.9295310562572404
alturas_MIDI,3,3,2.2678881826276056
alturas_MIDI,3,4,3.778456080292061
alturas_MIDI,3,5,4.923171980371459
alturas_MIDI,3,6,5.447785950883257
alturas_MIDI,3,7,5.580641500203991
alturas_MIDI,4,2,0.9414399773034563
alturas_MIDI,4,3,2.305276096234723
alturas_MIDI,4,4,3.78281267134546
alturas_MIDI,4,5,4.911402482357591
alturas_MIDI,4,6,5.442632440247124
alturas_MIDI,4,7,5.570296019897126
alturas_MIDI,5,2,0.904351188125593
alturas_MIDI,5,3,2.240195964887488
alturas_MIDI,5,4,3.7818955107900134
alturas_MIDI,5,5,4.970844600847418
alturas_MIDI,5,6,5.432325418974857
alturas_MIDI,5,7,5.575468760050558
alturas_MIDI,6,2,0.9732329159152073
alturas_MIDI,6,3,2.353094449465924
alturas_MIDI,6,4,3.9229856195969877
alturas_MIDI,6,5,5.037948860959846
alturas_MIDI,6,6,5.472290314199275
alturas_MIDI,6,7,5.5702960198971265
alturas_MIDI,7,2,0.9407278543858291
alturas_MIDI,7,3,2.3202173471484917
alturas_MIDI,7,4,3.811990159016587
alturas_MIDI,7,5,4.969163020570662
alturas_MIDI,7,6,5.4387421194756405
alturas_MIDI,7,7,5.552825380989947
alturas_MIDI,8,2,0.95236944265359
alturas_MIDI,8,3,2.2696784832259755
alturas_MIDI,8,4,3.7633867594977044
alturas_MIDI,8,5,4.950376724993748
alturas_MIDI,8,6,5.4443202717516685
alturas_MIDI,8,7,5.5702960198971265
alturas_MIDI,9,2,0.9730505120811246
alturas_MIDI,9,3,2.3697801217638483
alturas_MIDI,9,4,3.8699718888721435
alturas_MIDI,9,5,4.986927316230869
alturas_MIDI,9,6,5.484542495857283
alturas_MIDI,9,7,5.585814240357424
alturas_MIDI,10,2,0.9472260919813013
alturas_MIDI,10,3,2.3152751969884062
alturas_MIDI,10,4,3.8447436995300714
alturas_MIDI,10,5,5.011025276110919
alturas_MIDI,10,6,5.460720103062358
alturas_MIDI,10,7,5.575468760050558
alturas_MIDI,11,2,0.9416179496377419
alturas_MIDI,11,3,2.303062458090271
alturas_MIDI,11,4,3.8121630974197336
alturas_MIDI,11,5,4.947176754193701
