representacion,d,C_observado,C_null_media,C_null_std,C_null_q025,C_null_mediana,C_null_q975
alturas_MIDI,0,1.0,1.0,0.0,1.0,1.0,1.0
alturas_MIDI,1,0.48166056166056165,0.4851870899470895,0.0017530511380578519,0.4820993080993081,0.48511192511192514,0.48885958485958486
alturas_MIDI,2,0.3037037037037037,0.23534122914122887,0.002200129574283003,0.23143630443630445,0.2351973951973952,0.23992429792429792
alturas_MIDI,3,0.19832315832315833,0.11418889702889704,0.0020301955426959956,0.1106064306064306,0.11408221408221408,0.11874643874643874
alturas_MIDI,4,0.12667480667480668,0.05540156288156285,0.0016248249292726239,0.052518925518925515,0.05525437525437525,0.058755799755799754
alturas_MIDI,5,0.0876027676027676,0.026900317460317465,0.001217776060087007,0.02468050468050468,0.026813186813186812,0.02958119658119658
alturas_MIDI,6,0.06083842083842084,0.013055205535205535,0.0008681952594093393,0.011475783475783477,0.012991452991452991,0.014847781847781847
alturas_MIDI,7,0.04076516076516076,0.006336312576312562,0.0005968545329076048,0.005274318274318275,0.0063003663003663,0.007602767602767603
alturas_MIDI,8,0.0301994301994302,0.003077444037444039,0.0004086676821529659,0.0023606023606023607,0.0030606430606430605,0.00394017094017094
alturas_MIDI,9,0.02271062271062271,0.0014947822547822522,0.0002777384889024606,0.0010252340252340252,0.0014814814814814814,0.0021001221001221
alturas_MIDI,10,0.016605616605616606,0.0007260561660561664,0.00018964513616823275,0.000407000407000407,0.0007000407000407001,0.0011233211233211233
intervalos,0,1.0,1.0,0.0,1.0,1.0,1.0
intervalos,1,0.7124682767089644,0.5382794596807204,0.014105868432352113,0.5107314776913631,0.538370855505526,0.5654719607040524
intervalos,2,0.5042816209578387,0.3138044371674166,0.015129867172623422,0.2856950470732706,0.3137126483831355,0.3434830126893164
intervalos,3,0.34049938600081864,0.1869061481784692,0.013029767883093055,0.16337044617273844,0.18640196479738025,0.2129193614408514
intervalos,4,0.2463528448628735,0.1120029963160049,0.010204946023014801,0.09399058534588621,0.11137126483831356,0.1327228817028244
intervalos,5,0.1789766680311093,0.06723664347114207,0.007598519398027172,0.05362873516168645,0.06672124437167418,0.0829832173557102
intervalos,6,0.126058125255833,0.04039237003683994,0.005494642765331192,0.030731887024150636,0.039983626688497746,0.051790421612771184
intervalos,7,0.09517805976258699,0.02427842816209577,0.0038838371990199375,0.01747032337290217,0.023978714695047074,0.032419156774457634
intervalos,8,0.07106017191977078,0.01459942693409743,0.002699894084103597,0.00979083094555874,0.014326647564469915,0.020385182153090462
intervalos,9,0.051657797789602944,0.008789144494474004,0.0018544034927496726,0.005566516577977896,0.008587801882930823,0.012853458862054851
intervalos,10,0.04257060990585346,0.005297519443307404,0.0012717699268120196,0.0031436758084322555,0.00517396643471142,0.007990585345886205
