representacion,shuffle,m,mPE_null
alturas_MIDI,1,2,0.8084706055682882
alturas_MIDI,1,3,2.067361185635844
alturas_MIDI,1,4,3.571998649628057
alturas_MIDI,1,5,5.0000723652643435
alturas_MIDI,1,6,5.733966942199488
alturas_MIDI,1,7,5.853632570070249
alturas_MIDI,2,2,0.7741295605739925
alturas_MIDI,2,3,1.9989239785783206
alturas_MIDI,2,4,3.4771118633801277
alturas_MIDI,2,5,4.9014639955767265
alturas_MIDI,2,6,5.661685261314708
alturas_MIDI,2,7,5.837968227006747
alturas_MIDI,3,2,0.800945219665376
alturas_MIDI,3,3,2.026997854995878
alturas_MIDI,3,4,3.5321803464238246
alturas_MIDI,3,5,4.967356032761256
alturas_MIDI,3,6,5.661685261314709
alturas_MIDI,3,7,5.841884312772624
alturas_MIDI,4,2,0.7737968018899761
alturas_MIDI,4,3,2.014691982300271
alturas_MIDI,4,4,3.5031992940705323
alturas_MIDI,4,5,4.868447287877887
alturas_MIDI,4,6,5.602592682478165
alturas_MIDI,4,7,5.82621996970912
alturas_MIDI,5,2,0.8007217075022619
alturas_MIDI,5,3,2.0104066350123686
alturas_MIDI,5,4,3.4762542759834845
alturas_MIDI,5,5,4.873495647073766
alturas_MIDI,5,6,5.701252567459421
alturas_MIDI,5,7,5.853632570070249
alturas_MIDI,6,2,0.7665139132580538
alturas_MIDI,6,3,1.9811649331591132
alturas_MIDI,6,4,3.4631471843054267
alturas_MIDI,6,5,4.937741166445966
alturas_MIDI,6,6,5.668978609630388
alturas_MIDI,6,7,5.845800398538499
alturas_MIDI,7,2,0.734893049581735
alturas_MIDI,7,3,1.9425875684327027
alturas_MIDI,7,4,3.4254824675651565
alturas_MIDI,7,5,4.897411987462184
alturas_MIDI,7,6,5.6743576026018925
alturas_MIDI,7,7,5.857548655836124
alturas_MIDI,8,2,0.8088068421389454
alturas_MIDI,8,3,2.06040969709739
alturas_MIDI,8,4,3.5886849906043667
alturas_MIDI,8,5,4.977988552000251
alturas_MIDI,8,6,5.697347512921055
alturas_MIDI,8,7,5.834052141240871
alturas_MIDI,9,2,0.7929161868557755
alturas_MIDI,9,3,2.009653567184286
alturas_MIDI,9,4,3.4945464214553645
alturas_MIDI,9,5,4.952815652609143
alturas_MIDI,9,6,5.677305479468171
alturas_MIDI,9,7,5.834052141240872
alturas_MIDI,10,2,0.7753173693672302
alturas_MIDI,10,3,1.9682512912309682
alturas_MIDI,10,4,3.3966600379403338
alturas_MIDI,10,5,4.815799461940049
alturas_MIDI,10,6,5.665590315853074
alturas_MIDI,10,7,5.836490124905718
alturas_MIDI,11,2,0.756785357167163
alturas_MIDI,11,3,2.010344870662673
alturas_MIDI,11,4,3.4983129892706666
alturas_MIDI,11,5,4.922567485596397
alturas_MIDI,11,6,5.657780206776339
alturas_MIDI,11,7,5.832574039139843
alturas_MIDI,12,2,0.7565964885735137
alturas_MIDI,12,3,2.0185854979813582
alturas_MIDI,12,4,3.55101805934976
alturas_MIDI,12,5,4.9752883505307715
alturas_MIDI,12,6,5.718346724046023
alturas_MIDI,12,7,5.849716484304373
alturas_MIDI,13,2,0.7665139132580538
alturas_MIDI,13,3,2.0166088786560876
alturas_MIDI,13,4,3.53510152757418
alturas_MIDI,13,5,4.995989180263834
alturas_MIDI,13,6,5.706631560430925
alturas_MIDI,13,7,5.853632570070249
alturas_MIDI,14,2,0.7562816539643085
alturas_MIDI,14,3,1.9583376883164507
alturas_MIDI,14,4,3.438986947863087
alturas_MIDI,14,5,4.868702710558605
alturas_MIDI,14,6,5.666352503471523
alturas_MIDI,14,7,5.841884312772623
alturas_MIDI,15,2,0.7658509202880202
alturas_MIDI,15,3,1.984119711340587
alturas_MIDI,15,4,3.4972355104025
alturas_MIDI,15,5,4.9761978869865
alturas_MIDI,15,6,5.699778629026282
alturas_MIDI,15,7,5.857548655836124
alturas_MIDI,16,2,0.7664823489228905
alturas_MIDI,16,3,1.9958619087801626
alturas_MIDI,16,4,3.515822790371205
alturas_MIDI,16,5,4.958053111521489
alturas_MIDI,16,6,5.688063465411182
alturas_MIDI,16,7,5.845800398538498
alturas_MIDI,17,2,0.8163990591122765
alturas_MIDI,17,3,2.047282836888925
alturas_MIDI,17,4,3.5172117129094813
alturas_MIDI,17,5,4.928759112063312
alturas_MIDI,17,6,5.644396114674467
alturas_MIDI,17,7,5.840406210671592
alturas_MIDI,18,2,0.7843066737505413
alturas_MIDI,18,3,2.030547288006395
alturas_MIDI,18,4,3.5244586295183966
alturas_MIDI,18,5,4.9276604758911215
alturas_MIDI,18,6,5.672443247257718
alturas_MIDI,18,7,5.834052141240871
alturas_MIDI,19,2,0.7746998286465294
alturas_MIDI,19,3,1.9900879911078806
alturas_MIDI,19,4,3.4661949097524265
alturas_MIDI,19,5,4.920273570041351
alturas_MIDI,19,6,5.7222517785843925
alturas_MIDI,19,7,5.865380827367875
alturas_MIDI,20,2,0.75670666485113
alturas_MIDI,20,3,1.9782812907262461
alturas_MIDI,20,4,3.4383135330951897
alturas_MIDI,20,5,4.900270111762162
alturas_MIDI,20,6,5.684158410872815
alturas_MIDI,20,7,5.861464741601999
alturas_MIDI,21,2,0.7756497838679268
alturas_MIDI,21,3,2.039646539495109
alturas_MIDI,21,4,3.5680845434434554
alturas_MIDI,21,5,5.018711958253878
alturas_MIDI,21,6,5.749587160352953
alturas_MIDI,21,7,5.857548655836124
alturas_MIDI,22,2,0.8371714195865784
alturas_MIDI,22,3,2.1204040148165535
alturas_MIDI,22,4,3.6479178410017346
alturas_MIDI,22,5,5.0158934438566325
alturas_MIDI,22,6,5.684598827783851
alturas_MIDI,22,7,5.849716484304373
alturas_MIDI,23,2,0.7462921925535377
alturas_MIDI,23,3,1.9888899660575547
alturas_MIDI,23,4,3.4901340736995294
alturas_MIDI,23,5,4.951458824767964
alturas_MIDI,23,6,5.720777840151248
alturas_MIDI,23,7,5.853632570070247
alturas_MIDI,24,2,0.775570644374078
alturas_MIDI,24,3,1.9755123470550924
alturas_MIDI,24,4,3.4411604419393735
alturas_MIDI,24,5,4.916800941869102
alturas_MIDI,24,6,5.692925697621637
alturas_MIDI,24,7,5.849716484304373
alturas_MIDI,25,2,0.7656298563506156
alturas_MIDI,25,3,1.9812042963272285
alturas_MIDI,25,4,3.469977750471097
alturas_MIDI,25,5,4.948668718268413
alturas_MIDI,25,6,5.748113221919813
alturas_MIDI,25,7,5.853632570070248
alturas_MIDI,26,2,0.783608051877788
alturas_MIDI,26,3,1.9837765538380827
alturas_MIDI,26,4,3.477070507470592
alturas_MIDI,26,5,4.946483825984817
alturas_MIDI,26,6,5.705157621997788
alturas_MIDI,26,7,5.837968227006748
alturas_MIDI,27,2,0.7656298563506156
alturas_MIDI,27,3,1.9757364784351419
alturas_MIDI,27,4,3.420220032719712
alturas_MIDI,27,5,4.886602748567505
alturas_MIDI,27,6,5.675831541035034
alturas_MIDI,27,7,5.837968227006748
alturas_MIDI,28,2,0.8087267928662603
alturas_MIDI,28,3,2.0559556972240594
alturas_MIDI,28,4,3.569460065873227
alturas_MIDI,28,5,5.036078964403808
alturas_MIDI,28,6,5.706114799669874
alturas_MIDI,28,7,5.856070553735094
alturas_MIDI,29,2,0.7844971492215147
alturas_MIDI,29,3,2.0725712556182896
alturas_MIDI,29,4,3.629858465350911
alturas_MIDI,29,5,5.0504560791131174
alturas_MIDI,29,6,5.695873574487913
alturas_MIDI,29,7,5.841884312772622
alturas_MIDI,30,2,0.7545803868112908
alturas_MIDI,30,3,1.9391945447808914
alturas_MIDI,30,4,3.4229931985856137
alturas_MIDI,30,5,4.858960609533958
alturas_MIDI,30,6,5.660728083642621
alturas_MIDI,30,7,5.841884312772622
alturas_MIDI,31,2,0.7451930365773185
alturas_MIDI,31,3,1.9770864115379747
alturas_MIDI,31,4,3.4709272123775055
alturas_MIDI,31,5,4.937935608774736
alturas_MIDI,31,6,5.701252567459419
alturas_MIDI,31,7,5.841884312772621
alturas_MIDI,32,2,0.8237590644124251
alturas_MIDI,32,3,2.1038298954218657
alturas_MIDI,32,4,3.6432891842179855
alturas_MIDI,32,5,5.058063582981507
alturas_MIDI,32,6,5.757397269429683
alturas_MIDI,32,7,5.869296913133749
alturas_MIDI,33,2,0.7844019145786811
alturas_MIDI,33,3,2.024975236710581
alturas_MIDI,33,4,3.5105242463156237
alturas_MIDI,33,5,4.960114669681202
alturas_MIDI,33,6,5.711493792641379
alturas_MIDI,33,7,5.853632570070248
alturas_MIDI,34,2,0.774937375019291
alturas_MIDI,34,3,1.9934905297011951
alturas_MIDI,34,4,3.4844915039152013
alturas_MIDI,34,5,4.927867298280673
alturas_MIDI,34,6,5.71149379264138
alturas_MIDI,34,7,5.845800398538498
alturas_MIDI,35,2,0.7564548212959079
alturas_MIDI,35,3,1.9647505541311594
alturas_MIDI,35,4,3.443334361070249
alturas_MIDI,35,5,4.844383709883571
alturas_MIDI,35,6,5.593825395729344
alturas_MIDI,35,7,5.814471712411495
alturas_MIDI,36,2,0.7756972655201175
alturas_MIDI,36,3,2.0002337862682817
alturas_MIDI,36,4,3.4851047443476557
alturas_MIDI,36,5,4.940179229202438
alturas_MIDI,36,6,5.722692195495425
alturas_MIDI,36,7,5.849716484304373
alturas_MIDI,37,2,0.7235645699765474
alturas_MIDI,37,3,1.912917293320198
alturas_MIDI,37,4,3.366158814748255
alturas_MIDI,37,5,4.88296685495245
alturas_MIDI,37,6,5.695873574487915
alturas_MIDI,37,7,5.853632570070249
alturas_MIDI,38,2,0.75670666485113
alturas_MIDI,38,3,1.9735783935910998
alturas_MIDI,38,4,3.458693049654846
alturas_MIDI,38,5,4.89969212738816
alturas_MIDI,38,6,5.653358391476924
alturas_MIDI,38,7,5.824741867608091
alturas_MIDI,39,2,0.7811602469661909
alturas_MIDI,39,3,1.9915787094949988
alturas_MIDI,39,4,3.4557212296146727
alturas_MIDI,39,5,4.921336760867368
alturas_MIDI,39,6,5.699261868265228
alturas_MIDI,39,7,5.853632570070249
alturas_MIDI,40,2,0.7545803868112908
alturas_MIDI,40,3,1.972029245463054
alturas_MIDI,40,4,3.4741376200944716
alturas_MIDI,40,5,4.916248791768757
alturas_MIDI,40,6,5.6802533563344495
alturas_MIDI,40,7,5.857548655836124
alturas_MIDI,41,2,0.7664192182259069
alturas_MIDI,41,3,1.9931404104978276
alturas_MIDI,41,4,3.526270678714308
alturas_MIDI,41,5,4.946044646199938
alturas_MIDI,41,6,5.683641650111763
alturas_MIDI,41,7,5.857548655836124
alturas_MIDI,42,2,0.7462921925535377
alturas_MIDI,42,3,1.9613256816835938
alturas_MIDI,42,4,3.4326393597251528
alturas_MIDI,42,5,4.844975148470456
alturas_MIDI,42,6,5.64554828240019
alturas_MIDI,42,7,5.841884312772621
alturas_MIDI,43,2,0.7564548212959079
alturas_MIDI,43,3,1.9970697259162808
alturas_MIDI,43,4,3.5044329267368393
alturas_MIDI,43,5,4.997314831219047
alturas_MIDI,43,6,5.748113221919812
alturas_MIDI,43,7,5.865380827367874
alturas_MIDI,44,2,0.7753173693672302
alturas_MIDI,44,3,1.998743430196742
alturas_MIDI,44,4,3.4924808101187383
alturas_MIDI,44,5,4.968460011545749
alturas_MIDI,44,6,5.716356024851832
alturas_MIDI,44,7,5.861464741601999
alturas_MIDI,45,2,0.7844019145786811
alturas_MIDI,45,3,2.0054799181752165
alturas_MIDI,45,4,3.5008208201834963
alturas_MIDI,45,5,4.920193172180143
alturas_MIDI,45,6,5.65925414520948
alturas_MIDI,45,7,5.845800398538497
alturas_MIDI,46,2,0.8010410001042023
alturas_MIDI,46,3,2.0680670344312393
alturas_MIDI,46,4,3.600890523746636
alturas_MIDI,46,5,5.076828204931099
alturas_MIDI,46,6,5.757397269429685
alturas_MIDI,46,7,5.861464741601999
alturas_MIDI,47,2,0.7840209141398174
alturas_MIDI,47,3,2.0144936956614194
alturas_MIDI,47,4,3.546810153254915
alturas_MIDI,47,5,5.006251933086667
alturas_MIDI,47,6,5.702209745131508
alturas_MIDI,47,7,5.841884312772623
alturas_MIDI,48,2,0.783067979462889
alturas_MIDI,48,3,2.025258841149699
alturas_MIDI,48,4,3.5260037809802642
alturas_MIDI,48,5,4.973981817816935
alturas_MIDI,48,6,5.704640861236733
alturas_MIDI,48,7,5.841884312772622
