Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10,notes_durations
byrd,1543.0,"Ne irascaris Domine
",,,,,neirascaris.krn,0.18,0.9925853099784092,0.9896954953569312,8
byrd,1543.0,"Ave verum corpus
",,,,,aveverum.krn,0.14,0.9380642879537952,0.9441765478159554,8
buxtehude,1637.0,"Sonata in B-flat Major, Op. 1, No. 4
","2. Lento
","Op. 1
","No. 4
",Sonata,op1-4-2.krn,,,,NaN
buxtehude,1637.0,"Sonata in A Minor, Op. 1, No. 3
","6. Presto
","Op. 1
","No. 3
",Sonata,op1-3-6.krn,1.01,0.9470980048712532,0.93097840923843,5
buxtehude,1637.0,"Sonata in A Minor, Op. 1, No. 3
","5. Largo
","Op. 1
","No. 3
",Sonata,op1-3-5.krn,,,,NaN
buxtehude,1637.0,"Sonata in F Major, Op. 1, No. 1
","1. Vivace
","Op. 1
","No. 1
",Sonata,op1-1-1.krn,0.1,0.9826336480823618,0.982100497820015,7
buxtehude,1637.0,"Sonata in B-flat Major, Op. 1, No. 4
","1. Vivace
","Op. 1
","No. 4
",Sonata,op1-4-1.krn,0.39,0.9540227211221702,0.9664215753508706,10
buxtehude,1637.0,"Sonata in G Major, Op. 1, No. 2
","3. Adagio
","Op. 1
","No. 2
",Sonata,op1-2-3.krn,,,,NaN
buxtehude,1637.0,"Sonata in F Major, Op. 1, No. 1
","6. Presto
","Op. 1
","No. 1
",Sonata,op1-1-6.krn,0.45,0.9788910822323996,0.6995833704254943,4
buxtehude,1637.0,"Sonata in A Minor, Op. 1, No. 3
","3. Lento
","Op. 1
","No. 3
",Sonata,op1-3-3.krn,,,,NaN
buxtehude,1637.0,"Sonata in F Major, Op. 1, No. 1
","2. Allegro
","Op. 1
","No. 1
",Sonata,op1-1-2.krn,0.27,0.9579971327565208,0.7168698904165363,3
buxtehude,1637.0,"Sonata in F Major, Op. 1, No. 1
","5. Grave
","Op. 1
","No. 1
",Sonata,op1-1-5.krn,,,,NaN
buxtehude,1637.0,"Sonata in A Minor, Op. 1, No. 3
","1. Adagio
","Op. 1
","No. 3
",Sonata,op1-3-1.krn,,,,NaN
buxtehude,1637.0,"Sonata in A Minor, Op. 1, No. 3
","2. Allegro
","Op. 1
","No. 3
",Sonata,op1-3-2.krn,0.52,0.9334780736071664,0.7577049901839984,4
buxtehude,1637.0,"Sonata in G Major, Op. 1, No. 2
","1. Lento
","Op. 1
","No. 2
",Sonata,op1-2-1.krn,,,,NaN
buxtehude,1637.0,"Sonata in F Major, Op. 1, No. 1
","4. Andante
","Op. 1
","No. 1
",Sonata,op1-1-4.krn,0.5,0.9836301607525816,0.9935557243875623,4
buxtehude,1637.0,"Sonata in G Major, Op. 1, No. 2
","4. Allegro
","Op. 1
","No. 2
",Sonata,op1-2-4.krn,0.2,0.9838522145105976,0.9580340335028736,3
buxtehude,1637.0,"Sonata in G Major, Op. 1, No. 2
","5. Largo
","Op. 1
","No. 2
",Sonata,op1-2-5.krn,,,,NaN
buxtehude,1637.0,"Sonata in G Major, Op. 1, No. 2
","2. Vivace
","Op. 1
","No. 2
",Sonata,op1-2-2.krn,0.35,0.9894630719997728,0.7727587823273618,4
buxtehude,1637.0,"Sonata in G Major, Op. 1, No. 2
","6. Arioso and Variations
","Op. 1
","No. 2
",Sonata,op1-2-6.krn,0.45,0.997207693304894,0.9940074188039074,4
buxtehude,1637.0,"Sonata in A Minor, Op. 1, No. 3
","4. Vivace
","Op. 1
","No. 3
",Sonata,op1-3-4.krn,0.49,0.8884903248233198,0.8806313939519396,3
buxtehude,1637.0,"Sonata in F Major, Op. 1, No. 1
","3. Adagio
","Op. 1
","No. 1
",Sonata,op1-1-3.krn,,,,NaN
buxtehude,1637.0,"Sonata in B-flat Major, Op. 1, No. 4
","3. Allegro
","Op. 1
","No. 4
",Sonata,op1-4-3.krn,0.39,0.9840900391802055,0.986589192981732,4
vivaldi,1678.0,"Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","6
",Sonata,vivaldi-op01n06m04.krn,0.46,0.9553027422241812,0.963683161170208,4
vivaldi,1678.0,"Sonata in D minor, op. @{OPS}, no. @{ONM}, ""@{OTP}"" (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","12
",Sonata,vivaldi-op01n12.krn,0.93,0.9672904368259736,0.9781327515935906,16
vivaldi,1678.0,"Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","2
",Sonata,vivaldi-op01n02m01.krn,0.15,0.9795488169329916,0.9825760390489862,6
vivaldi,1678.0,"Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","6
",Sonata,vivaldi-op01n06m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","3
",Sonata,vivaldi-op01n03m01.krn,,,,NaN
vivaldi,1678.0,"Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","3
",Sonata,vivaldi-op01n03m02.krn,1.0,0.9703917900332284,0.9914743312739644,4
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","1
",Sonata,vivaldi-op01n01m03.krn,,,,NaN
vivaldi,1678.0,"Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m02.krn,1.01,0.9822512678981904,0.9819313521819324,5
vivaldi,1678.0,"Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","4
",Sonata,vivaldi-op01n04m01.krn,,,,NaN
