Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10
byrd,~1540,"Ne irascaris Domine
",,,,,neirascaris.krn,-0.28,0.9879278551303795,0.9892340267691451
byrd,~1540,"Ave verum corpus
",,,,,aveverum.krn,-0.35,0.9941221118250114,0.9739479656583988
buxtehude,~1637,"Sonata in B-flat Major, Op. 1, No. 4
","2. Lento
","Op. 1
","No. 4
",Sonata,op1-4-2.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","6. Presto
","Op. 1
","No. 3
",Sonata,op1-3-6.krn,0.08,0.9472466182955025,0.9768020872908507
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","5. Largo
","Op. 1
","No. 3
",Sonata,op1-3-5.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","1. Vivace
","Op. 1
","No. 1
",Sonata,op1-1-1.krn,0.14,0.9979726123433559,0.9876738929334123
buxtehude,~1637,"Sonata in B-flat Major, Op. 1, No. 4
","1. Vivace
","Op. 1
","No. 4
",Sonata,op1-4-1.krn,-0.0,0.9762212398054165,0.9759393596327391
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","3. Adagio
","Op. 1
","No. 2
",Sonata,op1-2-3.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","6. Presto
","Op. 1
","No. 1
",Sonata,op1-1-6.krn,-0.13,0.9584578015266804,0.8228095889121755
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","3. Lento
","Op. 1
","No. 3
",Sonata,op1-3-3.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","2. Allegro
","Op. 1
","No. 1
",Sonata,op1-1-2.krn,-0.09,0.9742118079306477,0.6378608897024773
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","5. Grave
","Op. 1
","No. 1
",Sonata,op1-1-5.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","1. Adagio
","Op. 1
","No. 3
",Sonata,op1-3-1.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","2. Allegro
","Op. 1
","No. 3
",Sonata,op1-3-2.krn,-0.19,0.9604836154031068,0.7582355673936176
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","1. Lento
","Op. 1
","No. 2
",Sonata,op1-2-1.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","4. Andante
","Op. 1
","No. 1
",Sonata,op1-1-4.krn,0.1,0.9287667573476214,0.9436403987560437
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","4. Allegro
","Op. 1
","No. 2
",Sonata,op1-2-4.krn,0.01,0.9077616174678195,0.9395670476816813
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","5. Largo
","Op. 1
","No. 2
",Sonata,op1-2-5.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","2. Vivace
","Op. 1
","No. 2
",Sonata,op1-2-2.krn,0.02,0.9630391865680064,0.8132103295029103
buxtehude,~1637,"Sonata in G Major, Op. 1, No. 2
","6. Arioso and Variations
","Op. 1
","No. 2
",Sonata,op1-2-6.krn,0.08,0.9746934279896029,0.9708164054037323
buxtehude,~1637,"Sonata in A Minor, Op. 1, No. 3
","4. Vivace
","Op. 1
","No. 3
",Sonata,op1-3-4.krn,0.31,0.963429926008594,0.9673828438584766
buxtehude,~1637,"Sonata in F Major, Op. 1, No. 1
","3. Adagio
","Op. 1
","No. 1
",Sonata,op1-1-3.krn,NaN,NaN,NaN
buxtehude,~1637,"Sonata in B-flat Major, Op. 1, No. 4
","3. Allegro
","Op. 1
","No. 4
",Sonata,op1-4-3.krn,-0.1,0.996725256480079,0.9684830951383157
vivaldi,"1678/03/04-1741/08/28
","Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","6
",Sonata,vivaldi-op01n06m04.krn,-0.1,0.9714109654002707,0.970050301089478
vivaldi,"1678/03/04-1741/08/28
","Sonata in D minor, op. @{OPS}, no. @{ONM}, ""@{OTP}"" (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","12
",Sonata,vivaldi-op01n12.krn,0.32,0.95968485493729,0.8612804835791523
vivaldi,"1678/03/04-1741/08/28
","Sonata in E minor, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","2
",Sonata,vivaldi-op01n02m01.krn,-0.16,0.8925216528715478,0.9580644835572413
vivaldi,"1678/03/04-1741/08/28
","Sonata in D major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Grave
","1
","6
",Sonata,vivaldi-op01n06m01.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","3
",Sonata,vivaldi-op01n03m01.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in C major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","3
",Sonata,vivaldi-op01n03m02.krn,0.18,0.9243002726809069,0.9447899090207345
vivaldi,"1678/03/04-1741/08/28
","Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Adagio
","1
","1
",Sonata,vivaldi-op01n01m03.krn,NaN,NaN,NaN
vivaldi,"1678/03/04-1741/08/28
","Sonata in G major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Allegro
","1
","1
",Sonata,vivaldi-op01n01m02.krn,0.38,0.9751084780200222,0.9919698893392587
vivaldi,"1678/03/04-1741/08/28
","Sonata in E major, op. @{OPS}, no. @{ONM} (@{SCT})
 (12 sonatas for two violins and basso continuo
)","Largo
","1
","4
",Sonata,vivaldi-op01n04m01.krn,NaN,NaN,NaN
