composer,composer_id,work_id,work_title,catalogue,period,movement_no,filename,voice,analysis_mode,n_notes,n_intervals,fit_d_min,fit_d_max,n_shuffles,lambda_observed,decay_length_observed,slope_semilog_observed,intercept_semilog_observed,A_observed,r_squared_observed,rmse_log_observed,lambda_null_mean,lambda_null_std,lambda_null_p0,lambda_null_p100,lambda_fit_null_center,decay_length_fit_null_center,r_squared_fit_null_center,r_squared_null_mean,C_observed_0,C_observed_1,C_observed_2,C_observed_3,C_observed_4,C_observed_5,C_observed_6,C_observed_7,C_observed_8,C_null_geometric_mean_0,C_null_geometric_mean_1,C_null_geometric_mean_2,C_null_geometric_mean_3,C_null_geometric_mean_4,C_null_geometric_mean_5,C_null_geometric_mean_6,C_null_geometric_mean_7,C_null_geometric_mean_8,C_null_p0_0,C_null_p0_1,C_null_p0_2,C_null_p0_3,C_null_p0_4,C_null_p0_5,C_null_p0_6,C_null_p0_7,C_null_p0_8,C_null_p100_0,C_null_p100_1,C_null_p100_2,C_null_p100_3,C_null_p100_4,C_null_p100_5,C_null_p100_6,C_null_p100_7,C_null_p100_8
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,vln I,intervals,1615,1614,1,8,200,0.1544078791942729,6.476353442701068,-0.1544078791942729,-0.07951772307276121,0.9235616514732082,0.9956841519694354,0.0232927831903682,0.19344776193284852,0.0059905792430446,0.17858525609924425,0.2100192081188817,0.1934477619328485,5.1693541967527645,0.9999999868245656,0.999921461676719,1.0,0.8235242606870161,0.6739761674678264,0.5743156690723416,0.48808644620631564,0.41734984164082883,0.35871471403518695,0.3146229021381394,0.2783641927711964,1.0,0.8239965482831193,0.679154792272161,0.5596908939814383,0.46120156055688194,0.38011152820130073,0.31325762999910034,0.2581334356358713,0.2127511166211701,1.0,0.8229500294865009,0.6725921230358154,0.5493656721333581,0.4471269453922402,0.3616222922596579,0.2937831916870541,0.2366553241151531,0.18969623091998658,1.0,0.8252694275744118,0.6883513210029905,0.5753750132708627,0.4820915034705728,0.4038596706036247,0.3373015473244778,0.28197851708860905,0.2361198399592071
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,vln II,intervals,961,960,1,8,200,0.2423868181801098,4.125636895224774,-0.2423868181801098,-0.0701687931494477,0.9322364514982889,0.9997513024663132,0.00875948149206701,0.3033350218864712,0.013179966132915997,0.2646323749262161,0.3385432312537232,0.3033350218864712,3.2966849451833777,0.9999993378269822,0.999827802970902,1.0,0.738783761143492,0.5642023860960964,0.44870025659791724,0.35553140458701843,0.27983061010343274,0.21818538538185472,0.1715612792861111,0.13294152918250196,1.0,0.7388245050533967,0.546183597887686,0.40335148460052,0.2977508780420207,0.21990476963209302,0.16232700173438738,0.11985779526335945,0.08838828547891339,1.0,0.7371194018005943,0.5371802446057121,0.3899516784678195,0.2800091705097569,0.20031391360321674,0.14195331857821827,0.09947357746876295,0.06896620138086715,1.0,0.7443654271782165,0.5593658239791195,0.4227737264895465,0.320374844586313,0.24506864655620905,0.18984277866445634,0.1477091361203453,0.11475923002989233
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,viola,intervals,936,935,1,8,200,0.28369944483611104,3.5248570915522417,-0.28369944483611104,0.042949968903559635,1.0438856667996417,0.9988425576488592,0.022127854303931913,0.27528070031261337,0.010766701877480704,0.2412815537108701,0.30397252887740245,0.27528070031261337,3.6326556815075786,0.9999965441042014,0.9998424340588042,1.0,0.7607595878436186,0.5868694900122754,0.45356963508536996,0.3441533682996689,0.25873460923260055,0.19270310233232898,0.14261568649332293,0.10437590670684076,1.0,0.7606601319358217,0.5782862942553674,0.4393557832932888,0.33380801662657,0.25365989909412207,0.19258005770010392,0.1460244487919511,0.11067470333873383,1.0,0.7587578581259532,0.5706464122307778,0.4264730498828256,0.3167684968195514,0.23155897779265708,0.1697401703678905,0.12452804746494067,0.0914471971134174,1.0,0.7657255514637503,0.5888665699512703,0.45585965108060855,0.3521812111743481,0.27603411077632706,0.22061107391288173,0.17628240895733363,0.14040704162481865
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,cello,intervals,1099,1098,1,8,200,0.3283321337632725,3.045696406678854,-0.3283321337632725,-0.1315710420317484,0.8767169891691832,0.9983847612655129,0.03025954750246199,0.40535472160424385,0.011292913451443447,0.37010903931987643,0.4320489107557552,0.40535472160424385,2.4669750879979153,0.9999977387837263,0.9999266147033726,1.0,0.6666789999915909,0.45230282797534455,0.3205560087118122,0.22506748290853437,0.1654319326600459,0.12207132586045964,0.09003607497540343,0.0649114102876748,1.0,0.6675078672611275,0.4456719957005242,0.2973722317896629,0.19843829778159003,0.13240372982977008,0.08820783272872401,0.05873356934684248,0.03907516510158239,1.0,0.6657388642689562,0.4390198370319293,0.2870088043121789,0.18585087328349548,0.1211513719422464,0.07855935552771214,0.050632783659465684,0.03258015960443663,1.0,0.6700274977085243,0.4555066894272572,0.3101976975924789,0.2139994450003784,0.14820844440333336,0.10288515712375651,0.07173454199917591,0.04978682969079794
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,vln I,intervals,467,466,1,8,200,0.30078186762898973,3.3246684977482954,-0.30078186762898973,-0.009927920609233571,0.9901211985099464,0.9997899659994278,0.009988993228650298,0.3082012939614403,0.012097303203963182,0.27532070865792735,0.3474958194242842,0.3082012939614405,3.24463271113038,0.999995126620133,0.99985116812126,1.0,0.7351181132326778,0.5419318625072542,0.3957911160582622,0.2966387913729296,0.22322116619573593,0.16433104051907033,0.12147158717926763,0.08789755591707814,1.0,0.7369305670712829,0.5428585011435517,0.3994644075249893,0.2935741077986402,0.2156806160304507,0.15839049001074712,0.11622110147754167,0.08524655008758719,1.0,0.7328348127217893,0.5315904139433552,0.38204374423228776,0.27603200426216096,0.19444206600641226,0.13501917021053933,0.09365337595494287,0.0657971097221033,1.0,0.7455166443093492,0.5564879032641683,0.41772982846704915,0.3132688300939007,0.23866198590061935,0.1810752442655859,0.13844412097687206,0.10652548258507673
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,vln II,intervals,357,356,1,8,200,0.3896728513599262,2.566255248499048,-0.3896728513599262,-0.024992928096054832,0.9753168093507358,0.9999060337880247,0.008655378541002123,0.41456582926363844,0.0224283451657885,0.35138391978535066,0.4675369583816566,0.41456582926363866,2.412162145095805,0.999993326938064,0.9997515405146368,1.0,0.6666172644336857,0.44773243750617525,0.30262161183018804,0.203981819978263,0.138375654579587,0.09256331719527056,0.06432170734117182,0.0436057043111682,1.0,0.6632920748418807,0.4395201357328063,0.29102564129815345,0.1925720952936555,0.12714493284041442,0.08386532079361332,0.055310044818437466,0.03643320380229804,1.0,0.6570496986463789,0.4249250732799789,0.2706418996805322,0.17098112834700127,0.10744985673352435,0.06664361229127556,0.04144847347100089,0.025359812930211112,1.0,0.674554556532622,0.46067582254717915,0.31795277146527023,0.2207127095478049,0.154546652175345,0.10909659783288872,0.07726509238217567,0.055182294239699635
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,viola,intervals,232,231,1,8,200,0.40799929956192393,2.450984599909161,-0.40799929956192393,-0.16193392189561873,0.8504974019396051,0.9964805812071441,0.055557171066886527,0.4894125328867011,0.027461683617724008,0.40036038648921773,0.5500459065236665,0.4894125328867009,2.04326602365841,0.9999950682427051,0.9996449507423645,1.0,0.6096652786675208,0.38789237668161436,0.2416319666880205,0.15050448430493274,0.10486066623959,0.07339045483664318,0.05008808456117873,0.03451313260730301,1.0,0.6142309156822328,0.3771691615502547,0.2318699078110877,0.1423596277123932,0.08726819006762522,0.053412839331186984,0.0326622432787178,0.019965556531734565,1.0,0.60486066623959,0.360626201153107,0.20968129404228059,0.11999519538757207,0.07014734144778988,0.04059897501601537,0.023422485586162715,0.012772261370916079,1.0,0.6324071108263933,0.4026665598975016,0.257847533632287,0.17084401024983983,0.11463004484304933,0.0773542600896861,0.053010890454836646,0.03543401665598975
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,cello,intervals,267,266,1,8,200,0.42638648909615534,2.3452900726750934,-0.42638648909615534,-0.17040448042744957,0.8433236396950835,0.9995975368568965,0.01960349720466874,0.5632765457646357,0.02672245363571799,0.48684342094481886,0.6166257221029835,0.5632765457646359,1.7753268931915518,0.9999998321745687,0.9996944946838789,1.0,0.5698422675166861,0.3523989105384454,0.23444374607165305,0.14986082427942893,0.10032623986112359,0.06423034330011074,0.042441112208554066,0.028583400676423933,1.0,0.5694333231791151,0.3241607934941329,0.18469206833157864,0.10518679878345419,0.05982049149764985,0.03407374291668896,0.019414741909032193,0.011036057609794153,1.0,0.5615815150698872,0.3108856364670318,0.17153033432103199,0.09251444135165066,0.05094130675526024,0.027416120439376253,0.014396456256921373,0.007572356409565712,1.0,0.5791505791505791,0.3397982700308282,0.2043039717458322,0.12397114722696118,0.0769207745951932,0.047319744994163596,0.029780611175960012,0.018856065367693273
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,3,haydn_quartet_20_1_3_(c)simonetto.mid,vln I,intervals,548,547,1,8,200,0.16868365638057906,5.928256604444415,-0.16868365638057906,-0.16945996753793077,0.8441205460277192,0.9945941665545851,0.028494499592369764,0.2784333996276014,0.011581225510805804,0.24525400739825132,0.304646502565529,0.27843339962760133,3.5915231482195686,0.9999997696501417,0.9998322876325412,1.0,0.7549027691884834,0.5952930667216382,0.49334845049130766,0.41737098879956025,0.3569023569023569,0.3047962619391191,0.262104033532605,0.22521816807531092,1.0,0.757130137191367,0.5733750835341633,0.4340050972967325,0.3283383395133588,0.24846864447837938,0.18816418959691514,0.14247654520652805,0.10786411999915467,1.0,0.7535353535353535,0.5611076753933897,0.4133443276300419,0.30749673606816463,0.23121005978148834,0.17015735587164157,0.12488833917405345,0.09028379028379029,1.0,0.766955266955267,0.5882361025218168,0.4585858585858586,0.35706727135298566,0.2766714766714767,0.21638837353123067,0.16989624132481276,0.13455644884216314
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,3,haydn_quartet_20_1_3_(c)simonetto.mid,vln II,intervals,474,473,1,8,200,0.2929532826851281,3.413513550127443,-0.2929532826851281,-0.002654314174714608,0.9973492054024445,0.999656511259267,0.012442535081847781,0.2891889195916219,0.01719265977122831,0.2348600035360227,0.3273051170925808,0.28918891959162196,3.4579471489161815,0.9999870750079494,0.9996719070771038,1.0,0.7488024366606673,0.5633577922377591,0.41270940052609717,0.3054040334117864,0.22499423139046565,0.17141538603535003,0.12970603165812913,0.09676496377313212,1.0,0.7518396026623599,0.5645316599909626,0.4234223630706334,0.31762295887312675,0.23794566557653873,0.1779736390264503,0.13297139964684696,0.09925903547239723,1.0,0.7478240804836402,0.5456550832987217,0.3977202455120218,0.28909502053624997,0.21035580783607918,0.14933776362545573,0.1079329918316489,0.07573953574230467,1.0,0.7609303613457012,0.5837002168997185,0.45468641838571233,0.3572107619179473,0.2812681711200332,0.22242835386958326,0.1769347916378236,0.14441829341455537
