composer,composer_id,work_id,work_title,catalogue,period,movement_no,filename,voice,analysis_mode,n_notes,n_intervals,fit_d_min,fit_d_max,n_shuffles,lambda_observed,decay_length_observed,slope_semilog_observed,intercept_semilog_observed,A_observed,r_squared_observed,rmse_log_observed,lambda_null_mean,lambda_null_std,lambda_null_p0,lambda_null_p100,lambda_fit_null_center,decay_length_fit_null_center,r_squared_fit_null_center,r_squared_null_mean,C_observed_0,C_observed_1,C_observed_2,C_observed_3,C_observed_4,C_observed_5,C_observed_6,C_observed_7,C_observed_8,C_null_geometric_mean_0,C_null_geometric_mean_1,C_null_geometric_mean_2,C_null_geometric_mean_3,C_null_geometric_mean_4,C_null_geometric_mean_5,C_null_geometric_mean_6,C_null_geometric_mean_7,C_null_geometric_mean_8,C_null_p0_0,C_null_p0_1,C_null_p0_2,C_null_p0_3,C_null_p0_4,C_null_p0_5,C_null_p0_6,C_null_p0_7,C_null_p0_8,C_null_p100_0,C_null_p100_1,C_null_p100_2,C_null_p100_3,C_null_p100_4,C_null_p100_5,C_null_p100_6,C_null_p100_7,C_null_p100_8
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,vln I,intervals,1615,1614,1,8,200,0.12204286200626384,8.193842585801331,-0.12204286200626384,-0.06163454253694705,0.9402264367790923,0.9973739778455896,0.014348688640113213,0.2863252303162629,0.021130077407297915,0.2298825902902849,0.33041579732601384,0.28632523031626295,3.4925318977145032,0.9999872520534624,0.9999656167701655,1.0,0.8536415634897448,0.7341821002603026,0.6459705785941178,0.5689592776310987,0.5039440616666964,0.4478693387661856,0.40151857417075515,0.36153937358427984,1.0,0.7023389981007981,0.5237379088118153,0.3931894321688314,0.29545632899840696,0.22209007512092535,0.16696301514351533,0.12550969745875248,0.09433049105600541,1.0,0.662071525494393,0.46992260665317753,0.33803851611218355,0.24324697133726125,0.17511416816682307,0.12592247026358064,0.09069985686841736,0.06544995780446847,1.0,0.7539136452367096,0.598324112828294,0.47550140613024744,0.37871206373733846,0.3012621462297963,0.2391328101449062,0.18972257891029362,0.15055939108244518
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,vln II,intervals,961,960,1,8,200,0.23848240763846204,4.193181417037664,-0.23848240763846204,-0.08419452694531562,0.919252419336297,0.9993417437089294,0.014024148249937404,0.3283986860227674,0.02428145069810099,0.2670286099543072,0.40285215804663266,0.3283986860227675,3.045079175288391,0.9999845293831138,0.9999530203139423,1.0,0.7450532154099835,0.5662988175333092,0.44277910534623083,0.34899521193577115,0.2767091096669518,0.21913329864999515,0.17493408696112234,0.13773841120918462,1.0,0.6689764290643001,0.4771793150837433,0.3435287573365014,0.24766521494153676,0.17858090908940452,0.1287183760547274,0.09277088412922573,0.06683432535189938,1.0,0.6126826386378266,0.4035421093936,0.26930877282707416,0.18050252629908206,0.12081926159760861,0.08077323269286728,0.05419198109464143,0.03627642032678759,1.0,0.7227353690689288,0.5454733834772104,0.41644034318869205,0.31702628585537046,0.24109622862786248,0.1838202227375735,0.14124348585184335,0.10854709144938143
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,viola,intervals,936,935,1,8,200,0.2777192372989753,3.6007588445285195,-0.2777192372989753,-0.0006444183383694664,0.9993557892545333,0.9998883782450748,0.006723327681553719,0.3562630215804144,0.02240336653549263,0.3023016018382778,0.4307455157213326,0.3562630215804144,2.8069149460528102,0.9999804811758886,0.999957345099013,1.0,0.752276066659227,0.5709416731763568,0.43546339694230557,0.3307410817245099,0.25120429267566863,0.18995973291671317,0.14336895063794963,0.10694955920098204,1.0,0.6474620162629755,0.4484097701295143,0.3138578984158855,0.2200420707454663,0.15429476454727653,0.10818684057717488,0.07586795439177385,0.05320516440628536,1.0,0.5912449317412491,0.3767018189934159,0.24454115984079158,0.15892943495889594,0.10333203139530558,0.06761708142692407,0.04413802403005617,0.028710058401220102,1.0,0.6962671576832943,0.5075465907822788,0.375625395231187,0.2773127999107243,0.20565041104043447,0.15195244206375777,0.11222938288137485,0.0836448685042592
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,cello,intervals,1099,1098,1,8,200,0.23306365053571684,4.290673374854526,-0.23306365053571684,-0.06001891841444517,0.9417467170610233,0.9998776740124211,0.00590663488500059,0.38355452854717953,0.02331757726856686,0.33990067578368005,0.4589562464804689,0.38355452854717964,2.6071912220350533,0.9999755717008282,0.9999550616398153,1.0,0.7539703495656708,0.5896366434295613,0.46688586348691125,0.3671877496447162,0.2923317552283487,0.2323800233772568,0.18501332840000337,0.14665612727991323,1.0,0.6285161534928517,0.4226147064685495,0.2877695720892046,0.19635608042252764,0.13406183520798906,0.09151585749230431,0.0624470170108674,0.04260764499592972,1.0,0.5796668320453418,0.35958930028002256,0.2258158914891649,0.14237085747441536,0.09029675661584777,0.05740714267694817,0.036419747895626436,0.023163666024773166,1.0,0.6610482765579933,0.4617580033468159,0.3267333226818254,0.23258688687257714,0.16502661475458086,0.11732019273623223,0.08348876125766277,0.05989286825486256
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,vln I,intervals,467,466,1,8,200,0.2612471871493478,3.8277924096014386,-0.2612471871493478,-0.015999421071593384,0.9841278897947113,0.9996015865258454,0.011950465301495157,0.370098541897904,0.029543859428126467,0.31092348724611574,0.44438895848941073,0.3700985418979039,2.7019830850235067,0.9999766819082659,0.9998879125372568,1.0,0.7695103271779357,0.5857331773077984,0.4488588254321622,0.34030691364367194,0.26160915603504864,0.20522114716823167,0.15842300044714636,0.12368829142525521,1.0,0.6327636317540866,0.43146147843981725,0.2979718167319637,0.2060535986148873,0.14248776674162472,0.09851554411474239,0.0681788459974872,0.04717369102294476,1.0,0.5761528289141955,0.3678682535605217,0.2383956008410157,0.15422743575838876,0.09926648971087708,0.06365651549314534,0.04045247405124107,0.025630048234723292,1.0,0.683258650379123,0.49601849473413817,0.3637297713845363,0.2668702609622209,0.19428033222022434,0.14203080552939273,0.10460370465507891,0.0779366574383271
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,vln II,intervals,357,356,1,8,200,0.3740831814266196,2.673202243913659,-0.3740831814266196,0.00883694481365591,1.0088761058802052,0.99978820583004,0.01247529518962852,0.26398914879002455,0.026316992869534428,0.19558429446541103,0.35005216069923856,0.2639891487900246,3.7880344877182583,0.9999883046590176,0.9998175876823404,1.0,0.6850442973355729,0.47348746830023386,0.32997398149063006,0.2301650034581563,0.15843296116984487,0.10698876922570233,0.07244014096103811,0.050275005763593845,1.0,0.7106892552335248,0.5422084729709851,0.416356005740323,0.3199827208114753,0.24599593704520864,0.18914451404474075,0.1452997672953038,0.11157463877632658,1.0,0.6430029970688008,0.4538583143958107,0.3230412014623061,0.2312518525837368,0.16439416394954384,0.11523894213351776,0.07989987814115865,0.054721206731877615,1.0,0.7757632644995553,0.629137437012153,0.5164674109936436,0.425106214800909,0.35055824523268453,0.28829496426571816,0.2370813160754866,0.19433191713598788
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,viola,intervals,232,231,1,8,200,0.46581536611769436,2.1467733199409675,-0.46581536611769436,-0.08584263531959715,0.9177386395051702,0.9979233307575527,0.048688740438811016,0.5395779457541855,0.028355072092106904,0.4573303499006781,0.6510272098802402,0.5395779457541855,1.8533003579348815,0.9999459699176988,0.9997348169433812,1.0,0.60069666880205,0.37067584881486226,0.22701793721973093,0.13857303010890454,0.08147821909032671,0.05385169762972453,0.03595451633568225,0.023742793081358102,1.0,0.5260946559285138,0.29909019555107913,0.17351824305258165,0.10143136244328335,0.059412750087525085,0.03476223802925223,0.020349235589609584,0.011890972442482814,1.0,0.48046124279308133,0.25,0.1354099935938501,0.07202914798206278,0.03903747597693786,0.019939141575912877,0.010289878283151825,0.005124919923126201,1.0,0.5741111467008329,0.3507367072389494,0.21848975016015373,0.13965406790518897,0.08920563741191544,0.055973734785393976,0.03563420884048687,0.02274183215887252
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,cello,intervals,267,266,1,8,200,0.44884780812895897,2.227926664426729,-0.44884780812895897,-0.11339054099706189,0.8928019162705045,0.9988326608654289,0.03515854675470958,0.5233486916337869,0.029354923066557067,0.45092018796554956,0.6182294715783179,0.5233486916337872,1.91077194991776,0.9999606333864739,0.9997927203183923,1.0,0.574601179252342,0.3595223130106851,0.23438388554667625,0.15324294394061835,0.09451976893837359,0.05665798689054503,0.03738289784801413,0.026099188889886563,1.0,0.5352205876450721,0.310023283874257,0.18326895156481368,0.10893091126637765,0.06475751885509495,0.03851360149668347,0.022856335887089258,0.013568878629388622,1.0,0.4818173655382958,0.2535093232767651,0.1377689982341145,0.07566370357068032,0.04297985693334531,0.024572745502978062,0.012690431295082457,0.006464936697494837,1.0,0.5897758223339619,0.37221274430576756,0.2380054473077729,0.14860375325491604,0.09419053605100117,0.06004010655173446,0.03789171231031696,0.02442309419053605
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,3,haydn_quartet_20_1_3_(c)simonetto.mid,vln I,intervals,548,547,1,8,200,0.27015301326369034,3.7016059451608716,-0.27015301326369034,-0.14065387973081597,0.8687899654801987,0.9985620684789194,0.02348935206512493,0.37171856538287473,0.02982456789976864,0.3208269623133727,0.4590963659266138,0.37171856538287507,2.690207305007719,0.9999704487636556,0.9999162777476682,1.0,0.6947433518862091,0.5020270734556449,0.37444513158798876,0.28723287294715866,0.22340410911839484,0.17120868549439977,0.13270803270803272,0.10183467326324469,1.0,0.6314334461733385,0.42918423066476213,0.2957496012297136,0.2042924901243702,0.14109561508744337,0.09746091793308188,0.06732266237226418,0.04648451781547983,1.0,0.5729471586614444,0.3499278499278499,0.22120524977667835,0.14085755514326942,0.08890263175977461,0.05652442795299938,0.035868893011750155,0.0226276369133512,1.0,0.6727341441627156,0.4829038686181543,0.34829931972789113,0.2522847522847523,0.18286264000549715,0.1325018896447468,0.09660551089122518,0.07048031333745619
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,3,haydn_quartet_20_1_3_(c)simonetto.mid,vln II,intervals,474,473,1,8,200,0.3823551455526486,2.615369537016743,-0.3823551455526486,-0.0441579200349045,0.9568028472026642,0.9992908408919998,0.023338475282743965,0.38363796084196156,0.03259209433093588,0.30274544317349894,0.4841368127738327,0.38363796084196156,2.6066242188476934,0.9999700528749561,0.9999055856212428,1.0,0.6705524020490101,0.4517421200793761,0.29984770870829297,0.20327657021551526,0.13703447321057732,0.094789791868568,0.0659467441967788,0.046721122340671,1.0,0.6273024652045203,0.42165819844602875,0.28682589182680845,0.19566072719226227,0.13350352358039072,0.09117075012833287,0.06224016529510994,0.042527543367376124,1.0,0.5622040703308875,0.33866814343070745,0.2111218791822419,0.13069361761041118,0.08118510314273847,0.04993308412940145,0.030670543172273756,0.018662605565554477,1.0,0.700853754211085,0.5136831418154968,0.3795929669112557,0.2837694402141308,0.21014352300521483,0.1555678619225622,0.11417231990401033,0.0829941390927131
