composer,composer_id,work_id,work_title,catalogue,period,movement_no,filename,voice,analysis_mode,n_notes,n_intervals,fit_d_min,fit_d_max,n_shuffles,lambda_observed,decay_length_observed,slope_semilog_observed,intercept_semilog_observed,A_observed,r_squared_observed,rmse_log_observed,lambda_null_mean,lambda_null_std,lambda_null_p0,lambda_null_p100,lambda_fit_null_center,decay_length_fit_null_center,r_squared_fit_null_center,r_squared_null_mean,C_observed_0,C_observed_1,C_observed_2,C_observed_3,C_observed_4,C_observed_5,C_observed_6,C_observed_7,C_observed_8,C_null_geometric_mean_0,C_null_geometric_mean_1,C_null_geometric_mean_2,C_null_geometric_mean_3,C_null_geometric_mean_4,C_null_geometric_mean_5,C_null_geometric_mean_6,C_null_geometric_mean_7,C_null_geometric_mean_8,C_null_p0_0,C_null_p0_1,C_null_p0_2,C_null_p0_3,C_null_p0_4,C_null_p0_5,C_null_p0_6,C_null_p0_7,C_null_p0_8,C_null_p100_0,C_null_p100_1,C_null_p100_2,C_null_p100_3,C_null_p100_4,C_null_p100_5,C_null_p100_6,C_null_p100_7,C_null_p100_8
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,vln I,intervals,1615,1614,1,8,200,0.12204286200626384,8.193842585801331,-0.12204286200626384,-0.06163454253694705,0.9402264367790923,0.9973739778455896,0.014348688640113213,0.15761968990197356,0.004012740509735059,0.14824302284964921,0.16871306014104298,0.15761968990197356,6.344385023355378,0.9999999502156571,0.9999477266995201,1.0,0.8536415634897448,0.7341821002603026,0.6459705785941178,0.5689592776310987,0.5039440616666964,0.4478693387661856,0.40151857417075515,0.36153937358427984,1.0,0.8541156806860151,0.7296532232068832,0.623206205359902,0.5322716029039667,0.45463842682891836,0.388362695856308,0.3317259236644704,0.2834066171333721,1.0,0.8534571275575955,0.7242589821461368,0.6150674857275261,0.5205564695552847,0.43966271472643426,0.37225448128943966,0.31257085865775586,0.2627545583960583,1.0,0.8554851478703462,0.7363511598152851,0.6342093006855902,0.547213661277986,0.4724434893728481,0.40706715095306106,0.3512497084284896,0.3022408965756137
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,vln II,intervals,961,960,1,8,200,0.23848240763846204,4.193181417037664,-0.23848240763846204,-0.08419452694531562,0.919252419336297,0.9993417437089294,0.014024148249937404,0.29496433815809325,0.01074344887648845,0.2692372624246269,0.3254931521224903,0.2949643381580933,3.3902403464924147,0.9999984073203422,0.9998745060131509,1.0,0.7450532154099835,0.5662988175333092,0.44277910534623083,0.34899521193577115,0.2767091096669518,0.21913329864999515,0.17493408696112234,0.13773841120918462,1.0,0.7454796369576472,0.5559709250375118,0.4141841415373061,0.3083832236611717,0.22964445377168316,0.17091343438325526,0.12719038923834777,0.09458667468265548,1.0,0.7438914705441463,0.5482553986967295,0.40287416120698016,0.29277072843827984,0.21281534649536624,0.15352006489899211,0.10839057553766522,0.07589699048559613,1.0,0.7504408898921583,0.5675002424894406,0.42889989154108654,0.32548696288588885,0.24807331117126807,0.18982514306877002,0.14645921327607644,0.11365480085003571
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,viola,intervals,936,935,1,8,200,0.2777192372989753,3.6007588445285195,-0.2777192372989753,-0.0006444183383694664,0.9993557892545333,0.9998883782450748,0.006723327681553719,0.2870304946910878,0.009856478213938384,0.2601081943484021,0.317241621628452,0.2870304946910879,3.4839503763397492,0.9999975728376891,0.9998747535949154,1.0,0.752276066659227,0.5709416731763568,0.43546339694230557,0.3307410817245099,0.25120429267566863,0.18995973291671317,0.14336895063794963,0.10694955920098204,1.0,0.7515946857766431,0.5646184703131308,0.4239954787507303,0.3182999114459046,0.2390279644256224,0.17938529608111212,0.13442911144872527,0.10073364317781656,1.0,0.7496861399397389,0.5555090577688502,0.409589703530112,0.2993597254770673,0.21930216121712606,0.15944091061265483,0.11438920507383848,0.08139902540639066,1.0,0.7563120745452516,0.5745266525313395,0.43871126734367444,0.33788081687311683,0.25809526466540195,0.20078674255105458,0.1558582561470074,0.12095469255663431
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,1,haydn_quartet_20_1_1_(c)simonetto.mid,cello,intervals,1099,1098,1,8,200,0.23306365053571684,4.290673374854526,-0.23306365053571684,-0.06001891841444517,0.9417467170610233,0.9998776740124211,0.00590663488500059,0.2822042253366784,0.006886321501468269,0.26391963916190203,0.30053689925169036,0.2822042253366784,3.5435330523735744,0.999998205621553,0.9999442822691867,1.0,0.7539703495656708,0.5896366434295613,0.46688586348691125,0.3671877496447162,0.2923317552283487,0.2323800233772568,0.18501332840000337,0.14665612727991323,1.0,0.7551876000979988,0.5702468016621239,0.4303427602568622,0.3246438312962357,0.24484296976096573,0.18451092348654835,0.13905111483629493,0.10477158719888975,1.0,0.7537147133763318,0.5647810694674527,0.4202036680429536,0.3130887410758584,0.2319393873140541,0.1714847921694599,0.12641377744515175,0.09316425466073545,1.0,0.758179937604588,0.5772197882592353,0.44104979019332485,0.3391316778647651,0.2611542310312061,0.20118063555865756,0.154715394512231,0.11859164641478653
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,vln I,intervals,467,466,1,8,200,0.2612471871493478,3.8277924096014386,-0.2612471871493478,-0.015999421071593384,0.9841278897947113,0.9996015865258454,0.011950465301495157,0.2648433936442177,0.011666286232011751,0.22483023040482192,0.29681746474570514,0.2648433936442177,3.775816289921766,0.999995621491332,0.9998554840169098,1.0,0.7695103271779357,0.5857331773077984,0.4488588254321622,0.34030691364367194,0.26160915603504864,0.20522114716823167,0.15842300044714636,0.12368829142525521,1.0,0.7688273301776647,0.5908008127352722,0.4538202964049446,0.34836236017209254,0.2674182094565939,0.2050873553938262,0.15719175098501917,0.12037886227446865,1.0,0.7645441485667532,0.5807574849444872,0.4367478189723245,0.3286145122774971,0.2431049081447232,0.17939131013880563,0.13142297190588997,0.0966026391148405,1.0,0.7774543102054019,0.6057405980344588,0.47668655040861563,0.3775151982190256,0.302308987641636,0.24334275194794075,0.19697272407264702,0.1600403383090257
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,vln II,intervals,357,356,1,8,200,0.3740831814266196,2.673202243913659,-0.3740831814266196,0.00883694481365591,1.0088761058802052,0.99978820583004,0.01247529518962852,0.38372769474574164,0.015336737238657508,0.336338042126388,0.4250233352943715,0.3837276947457416,2.606014665328238,0.999998377798705,0.9998648294523537,1.0,0.6850442973355729,0.47348746830023386,0.32997398149063006,0.2301650034581563,0.15843296116984487,0.10698876922570233,0.07244014096103811,0.050275005763593845,1.0,0.6821209010129525,0.4651902058645389,0.3171355737620804,0.21624625822235927,0.1473819799565702,0.10036321527796588,0.06832922948409602,0.04645146916317457,1.0,0.6749827092184567,0.45390771662879165,0.29978921713928136,0.1968349636070217,0.12795178342061062,0.08269933801007806,0.05409544511411916,0.035454335869314624,1.0,0.6908902282383164,0.47795013667951125,0.3387017093172611,0.24215327866152883,0.1728748806112703,0.12317623423245397,0.08928630240753549,0.06446991404011461
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,viola,intervals,232,231,1,8,200,0.46581536611769436,2.1467733199409675,-0.46581536611769436,-0.08584263531959715,0.9177386395051702,0.9979233307575527,0.048688740438811016,0.5112946880806126,0.02501599534560106,0.44429918508558225,0.5682158003033638,0.5112946880806127,1.9558192629655016,0.9999904193377637,0.9996989657919173,1.0,0.60069666880205,0.37067584881486226,0.22701793721973093,0.13857303010890454,0.08147821909032671,0.05385169762972453,0.03595451633568225,0.023742793081358102,1.0,0.6027964351959773,0.36300995900750493,0.21881716545989216,0.1313544673071899,0.07866228311213601,0.047116377315294236,0.028160002062495002,0.01683573200044927,1.0,0.5939301729660474,0.3478139013452915,0.19879083920563742,0.11210762331838565,0.06434176809737348,0.03767616912235746,0.020299487508007686,0.011250800768737988,1.0,0.6171124279308136,0.38208680333119793,0.2448750800768738,0.15715086483023702,0.09933536194746957,0.06406149903907751,0.04147982062780269,0.026185137732222932
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,2,haydn_quartet_20_1_2_(c)simonetto.mid,cello,intervals,267,266,1,8,200,0.44884780812895897,2.227926664426729,-0.44884780812895897,-0.11339054099706189,0.8928019162705045,0.9988326608654289,0.03515854675470958,0.5581433879841987,0.02767652140748645,0.46242582963932766,0.6304397234400939,0.5581433879841982,1.7916542980319448,0.9999993420080098,0.9997101436538656,1.0,0.574601179252342,0.3595223130106851,0.23438388554667625,0.15324294394061835,0.09451976893837359,0.05665798689054503,0.03738289784801413,0.026099188889886563,1.0,0.5732052606979148,0.32829474552062504,0.187997535027411,0.10764505498825377,0.061566189467947695,0.03524515443969385,0.020177356179509526,0.011509888043708226,1.0,0.5653826584059142,0.31573433899015296,0.1733261500703361,0.09281374397653468,0.049295142318398134,0.026667863877166204,0.013797851007153333,0.0068240998473556615,1.0,0.5831313040615366,0.3445571817664841,0.20753644009457964,0.12908922211247792,0.08087156924366226,0.05109095806770225,0.0340307084493131,0.022537487653766723
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,3,haydn_quartet_20_1_3_(c)simonetto.mid,vln I,intervals,548,547,1,8,200,0.27015301326369034,3.7016059451608716,-0.27015301326369034,-0.14065387973081597,0.8687899654801987,0.9985620684789194,0.02348935206512493,0.36301336467871415,0.015480221264786515,0.3160608730598692,0.4001392398166605,0.36301336467871403,2.7547195153133073,0.9999997978434365,0.99982322841713,1.0,0.6947433518862091,0.5020270734556449,0.37444513158798876,0.28723287294715866,0.22340410911839484,0.17120868549439977,0.13270803270803272,0.10183467326324469,1.0,0.6958700159563704,0.48425321814162064,0.3368941160628446,0.2341547577982687,0.1628081544855143,0.11329253668480853,0.07883748189161897,0.05484761145804971,1.0,0.6921803064660208,0.4723768295196867,0.3185528756957328,0.21572871572871574,0.14612794612794613,0.09896241324812753,0.06578712292998007,0.04316635745207174,1.0,0.7057239057239058,0.5027623170480313,0.3587576444719302,0.2579674293960008,0.1894592180306466,0.13872741015598158,0.10247371675943104,0.07576444719301863
Joseph Haydn,haydn,haydn_op20_no1,String Quartet Op. 20 No. 1,Op. 20 No. 1,Classical,3,haydn_quartet_20_1_3_(c)simonetto.mid,vln II,intervals,474,473,1,8,200,0.3823551455526486,2.615369537016743,-0.3823551455526486,-0.0441579200349045,0.9568028472026642,0.9992908408919998,0.023338475282743965,0.3962495270113181,0.015507951934944112,0.3505431380755165,0.4246813222718664,0.3962495270113182,2.523662318394229,0.9999963128800495,0.9998461473106101,1.0,0.6705524020490101,0.4517421200793761,0.29984770870829297,0.20327657021551526,0.13703447321057732,0.094789791868568,0.0659467441967788,0.046721122340671,1.0,0.6746623055597186,0.4548635703968141,0.30650365202176144,0.20640105339094633,0.13889061872961772,0.0933789505940846,0.06274502958330223,0.042103656210968655,1.0,0.6696663436245327,0.44306613133970185,0.29056255480179055,0.19116710508099127,0.12483271032350363,0.08165582168074208,0.05336656052425123,0.03468549540818681,1.0,0.6816373621302322,0.46833725598781667,0.3246388850431492,0.22439429599889243,0.15520790068761825,0.10951128340024921,0.07911763348562463,0.058442936914486134
