composer_i,composer_j,wasserstein_w1,compression_logiqr_distance,iqr_i,iqr_j,mad_i,mad_j
Chopin,Brahms,1.7276745197772654,0.3385688108680678,12.129723766767398,17.01725383502011,5.022284566029801,6.32058812820895
Buxtehude,Handel,2.010529095319242,0.0026644842159737614,9.765323232325377,9.739338316281563,4.85096463394263,4.8508497819908625
Haydn,Schubert,2.0456822294336217,0.08500148484936121,19.515795980011745,21.247211702528084,9.348588506262466,10.435671199281781
Beethoven,Tchaikovsky,2.048232354261849,0.09111992366757349,22.338013273807576,24.46906782226278,10.905989683516985,11.675850504603808
Bach,Liszt,2.203810484811994,0.10843596688556101,16.354301573474782,14.673673782143933,8.014317221472504,7.724426837445563
Mozart,Tchaikovsky,2.3986413253754666,0.30047808205985094,18.118467100825406,24.46906782226278,8.70932644532152,11.675850504603808
Mozart,Dvorak,2.6003737742258206,0.0974533656323957,18.118467100825406,16.436070400437494,8.70932644532152,8.126385336022174
Liszt,Alkan,2.6826097132379108,0.05129911972567447,14.673673782143933,15.446062380530748,7.724426837445563,7.229369704560014
Tchaikovsky,Dvorak,2.6940732027448764,0.39793144769224664,24.46906782226278,16.436070400437494,11.675850504603808,8.126385336022174
Handel,Scarlatti,2.7225855843893787,0.3198704727047581,9.739338316281563,7.073127243812055,4.8508497819908625,3.1259496513726353
Mozart,Beethoven,2.7875203036073635,0.20935815839227745,18.118467100825406,22.338013273807576,8.70932644532152,10.905989683516985
Bach,Brahms,3.141067313069171,0.039736804914058066,16.354301573474782,17.01725383502011,8.014317221472504,6.32058812820895
Byrd,Buxtehude,3.1493508497626284,0.8332188639103857,4.244477817380466,9.765323232325377,2.164012853371584,4.85096463394263
Schumann,Debussy,3.2814665037640944,0.007016198393436923,20.96880107382618,21.116439667413808,10.852444626157906,8.923946803830054
Buxtehude,Faure,3.393092398153415,0.2902544601233479,9.765323232325377,7.305176487742501,4.85096463394263,2.3812703600816354
Bach,Chopin,3.41103379788914,0.2988320059540097,16.354301573474782,12.129723766767398,8.014317221472504,5.022284566029801
Byrd,Faure,3.478322654729559,0.5429644037870378,4.244477817380466,7.305176487742501,2.164012853371584,2.3812703600816354
Bach,Alkan,3.550770586312064,0.05713684715988654,16.354301573474782,15.446062380530748,8.014317221472504,7.229369704560014
Dvorak,Debussy,3.554116527809259,0.2505735339547459,16.436070400437494,21.116439667413808,8.126385336022174,8.923946803830054
Alkan,Dvorak,3.5806011086685996,0.0621242255598915,15.446062380530748,16.436070400437494,7.229369704560014,8.126385336022174
Buxtehude,Scarlatti,3.6845192068464883,0.32253495692073186,9.765323232325377,7.073127243812055,4.85096463394263,3.1259496513726353
Saint,Debussy,3.739288220658662,0.14390431556026728,24.38470725183908,21.116439667413808,9.817299330743243,8.923946803830054
Chopin,Faure,3.862778565850522,0.5070757451991423,12.129723766767398,7.305176487742501,5.022284566029801,2.3812703600816354
Beethoven,Dvorak,3.9023497108476173,0.30681152402467315,22.338013273807576,16.436070400437494,10.905989683516985,8.126385336022174
Schumann,Dvorak,3.9075041073607277,0.24355733556130899,20.96880107382618,16.436070400437494,10.852444626157906,8.126385336022174
Handel,Chopin,3.9137878728659166,0.21948576929176822,9.739338316281563,12.129723766767398,4.8508497819908625,5.022284566029801
Buxtehude,Chopin,3.932333669317726,0.21682128507579446,9.765323232325377,12.129723766767398,4.85096463394263,5.022284566029801
