composer_i,composer_j,wasserstein_w1,compression_logiqr_distance,iqr_i,iqr_j,mad_i,mad_j
Mozart,Beethoven,2.4175504887628554,0.09687852257958252,34.25633187330444,31.09331664620144,17.015843362445494,15.263398019778723
Byrd,Scarlatti,3.0062728695282424,0.34891870240292366,10.806921539809618,15.319178108005222,6.2146208084341445,7.476777001127161
Handel,Liszt,3.2935847053358183,0.0956528669522787,27.629519904973883,30.402888789750357,13.983845646094954,14.811623859345628
Liszt,Debussy,3.3413726825518784,0.04845720842472012,30.402888789750357,28.964774563467376,14.811623859345628,14.652153298711209
Liszt,Saint,3.3586419040702773,0.046063633181896435,30.402888789750357,29.034186969545015,14.811623859345628,14.075657766660775
Buxtehude,Faure,3.528232812023226,0.32359532467914676,19.406786898275165,14.04164448538927,9.065849381242044,7.489170674179402
Alkan,Tchaikovsky,3.571685487415107,0.3142364602328356,20.413700175309668,27.95071310571697,10.240108674727846,14.221759490763151
Handel,Debussy,3.8484008945355974,0.04719565852755858,27.629519904973883,28.964774563467376,13.983845646094954,14.652153298711209
Handel,Saint,3.96481048987135,0.04958923377038227,27.629519904973883,29.034186969545015,13.983845646094954,14.075657766660775
Saint,Tchaikovsky,4.108466154699238,0.038031283797227644,29.034186969545015,27.95071310571697,14.075657766660775,14.221759490763151
Byrd,Faure,4.25367170839899,0.26184070815975824,10.806921539809618,14.04164448538927,6.2146208084341445,7.489170674179402
Alkan,Dvorak,4.2898084980684565,0.23894160329711456,20.413700175309668,16.074990021340213,10.240108674727846,7.685358524260234
Byrd,Buxtehude,4.292468476834026,0.585436032838905,10.806921539809618,19.406786898275165,6.2146208084341445,9.065849381242044
Buxtehude,Scarlatti,4.657887402342645,0.23651733043598133,19.406786898275165,15.319178108005222,9.065849381242044,7.476777001127161
Haydn,Schubert,4.86188039045142,0.01739523853116287,26.81242048730374,27.282909205139944,13.691335693880262,13.566313529260334
Saint,Debussy,5.29147260094533,0.0023935752428236867,29.034186969545015,28.964774563467376,14.075657766660775,14.652153298711209
Handel,Schumann,5.3943891801906965,0.0366818336750967,27.629519904973883,28.66183929155783,13.983845646094954,14.747400715434559
Bach,Schumann,5.712124606218329,0.3505084701418162,40.693772330201845,28.66183929155783,20.358758106152486,14.747400715434559
Buxtehude,Brahms,5.7171989475814415,0.3072893540519881,19.406786898275165,26.388074881284695,9.065849381242044,14.022741564857895
Brahms,Debussy,5.881428289553126,0.093168222392642,26.388074881284695,28.964774563467376,14.022741564857895,14.652153298711209
Beethoven,Schubert,5.996619815164461,0.1307324275486419,31.09331664620144,27.282909205139944,15.263398019778723,13.566313529260334
Brahms,Faure,6.059805933860869,0.6308846787311349,26.388074881284695,14.04164448538927,14.022741564857895,7.489170674179402
Schumann,Saint,6.176153325323235,0.01290740009528557,28.66183929155783,29.034186969545015,14.747400715434559,14.075657766660775
Alkan,Saint,6.185286837587135,0.3522677440300632,20.413700175309668,29.034186969545015,10.240108674727846,14.075657766660775
Tchaikovsky,Dvorak,6.223939037396045,0.5531780635299501,27.95071310571697,16.074990021340213,14.221759490763151,7.685358524260234
Scarlatti,Faure,6.227543891411518,0.08707799424316542,15.319178108005222,14.04164448538927,7.476777001127161,7.489170674179402
Handel,Tchaikovsky,6.411210942218705,0.011557949973154624,27.629519904973883,27.95071310571697,13.983845646094954,14.221759490763151
Schumann,Tchaikovsky,6.697606742875184,0.025123883701942074,28.66183929155783,27.95071310571697,14.747400715434559,14.221759490763151
