composer_i,composer_j,wasserstein_w1,compression_logiqr_distance,iqr_i,iqr_j,mad_i,mad_j
Mozart,Beethoven,2.234070360660222,0.051879608300720026,22.12024023808087,21.001910903055112,10.825491149046274,10.444722836046866
Handel,Schumann,3.1346257001967057,0.23678032252027403,22.029248790541885,17.38470398582089,11.282335999608879,10.65073158370739
Byrd,Buxtehude,3.801026053027432,0.8962104461159359,6.353074778839545,15.56693882043442,3.1321711074194383,6.654896871056781
Beethoven,Tchaikovsky,3.932885017736825,0.04181449487322153,21.001910903055112,20.14183376610117,10.444722836046866,11.058503648187722
Haydn,Schubert,3.952091232678367,0.018957069136892546,20.018215916436592,20.401322434911723,9.75549980424184,9.900286413695078
Mozart,Schubert,4.0718039624364355,0.08089331327801474,22.12024023808087,20.401322434911723,10.825491149046274,9.900286413695078
Alkan,Tchaikovsky,4.140946732015123,0.03164844104018538,19.51435781916581,20.14183376610117,8.3739477615471,11.058503648187722
Schumann,Liszt,4.2162501087244735,0.3492106441217686,17.38470398582089,24.650603487709922,10.65073158370739,11.722842601914557
Chopin,Faure,4.312309807141394,0.09812979192745885,14.482531653657087,13.128867315786522,6.279875098365993,6.234423822295781
Handel,Bach,4.323442785960659,0.3600796270373694,22.029248790541885,31.577684609517966,11.282335999608879,15.729621007387822
Byrd,Scarlatti,4.386398300964908,0.5241332444333462,6.353074778839545,10.730306889257253,3.1321711074194383,5.471351306671881
Buxtehude,Faure,4.416512287758856,0.17033594125785267,15.56693882043442,13.128867315786522,6.654896871056781,6.234423822295781
Saint,Debussy,4.431858862302542,0.1729142749468897,18.76510482555157,22.307284710312477,12.698887902817257,10.987867487370323
Saint,Dvorak,4.728265962414408,0.19556706616442465,18.76510482555157,15.431825264925958,12.698887902817257,8.004528444955088
Bach,Beethoven,4.876823919723807,0.4078372589177546,31.577684609517966,21.001910903055112,15.729621007387822,10.444722836046866
Bach,Schumann,4.883734902670305,0.5968599495576434,31.577684609517966,17.38470398582089,15.729621007387822,10.65073158370739
Handel,Liszt,4.919369656555766,0.11243032160149458,22.029248790541885,24.650603487709922,11.282335999608879,11.722842601914557
Liszt,Debussy,5.0349929857364,0.09988808870367771,24.650603487709922,22.307284710312477,11.722842601914557,10.987867487370323
Chopin,Brahms,5.069429916185815,0.23921761518028983,14.482531653657087,18.39650727922452,6.279875098365993,9.479297917633069
Brahms,Faure,5.091141268916249,0.3373474071077487,18.39650727922452,13.128867315786522,9.479297917633069,6.234423822295781
Mozart,Tchaikovsky,5.110281599674915,0.09369410317394156,22.12024023808087,20.14183376610117,10.825491149046274,11.058503648187722
Bach,Liszt,5.179517137389796,0.24764930543587482,31.577684609517966,24.650603487709922,15.729621007387822,11.722842601914557
Bach,Saint,5.259085564431768,0.5204516690864422,31.577684609517966,18.76510482555157,15.729621007387822,12.698887902817257
Schumann,Dvorak,5.409641343782471,0.11915878569322347,17.38470398582089,15.431825264925958,10.65073158370739,8.004528444955088
Schumann,Saint,5.4101122841038745,0.07640828047120118,17.38470398582089,18.76510482555157,10.65073158370739,12.698887902817257
Byrd,Faure,5.428480778200231,0.7258745048580832,6.353074778839545,13.128867315786522,3.1321711074194383,6.234423822295781
Buxtehude,Brahms,5.623446259310845,0.167011465849896,15.56693882043442,18.39650727922452,6.654896871056781,9.479297917633069
Liszt,Saint,5.684500050671598,0.2728023636505674,24.650603487709922,18.76510482555157,11.722842601914557,12.698887902817257
Beethoven,Schubert,5.805587195993713,0.02901370497729472,21.001910903055112,20.401322434911723,10.444722836046866,9.900286413695078
Liszt,Dvorak,5.808767496718577,0.4683694298149921,24.650603487709922,15.431825264925958,11.722842601914557,8.004528444955088
Dvorak,Debussy,5.844303900191882,0.36848134111131436,15.431825264925958,22.307284710312477,8.004528444955088,10.987867487370323
Beethoven,Alkan,5.984849608690501,0.07346293591340691,21.001910903055112,19.51435781916581,10.444722836046866,8.3739477615471
Saint,Tchaikovsky,5.990404095698692,0.07079991529546614,18.76510482555157,20.14183376610117,12.698887902817257,11.058503648187722
Bach,Mozart,6.0047510976054,0.35595765061703455,31.577684609517966,22.12024023808087,15.729621007387822,10.825491149046274
Bach,Tchaikovsky,6.0655290931581725,0.4496517537909761,31.577684609517966,20.14183376610117,15.729621007387822,11.058503648187722
Buxtehude,Scarlatti,6.239316657766125,0.37207720168258973,15.56693882043442,10.730306889257253,6.654896871056781,5.471351306671881
Schumann,Debussy,6.677539946163607,0.2493225554180909,17.38470398582089,22.307284710312477,10.65073158370739,10.987867487370323
Handel,Saint,6.795472622184121,0.16037204204907285,22.029248790541885,18.76510482555157,11.282335999608879,12.698887902817257
Scarlatti,Dvorak,6.845958669340268,0.36335979535131546,10.730306889257253,15.431825264925958,5.471351306671881,8.004528444955088
Handel,Beethoven,6.910806733640509,0.047757631880385176,22.029248790541885,21.001910903055112,11.282335999608879,10.444722836046866
