measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
PE,0.9516781042662894,0.9493710720439832,0.002372804218370442,0.9722809005669265,0.9722809005669265,static_transform_control,linear_AR1_original,0,4000
S_theta,0.713277649126007,0.7212492752507726,0.008071321028762022,-0.987648254400846,0.987648254400846,static_transform_control,linear_AR1_original,0,4000
gamma_R,0.2524785725212416,0.25383410482797236,0.004811010189965972,-0.2817562742972141,0.2817562742972141,static_transform_control,linear_AR1_original,0,4000
PE,0.9769482574844292,0.9686767783356882,0.00284858160123258,2.9037185191261043,2.9037185191261043,static_transform_control,static_square,0,4000
S_theta,0.7101427667565469,0.681774621186736,0.00797697675999554,3.5562527538097877,3.5562527538097877,static_transform_control,static_square,0,4000
gamma_R,0.09552978516489985,0.129486962198515,0.00714171674452749,-4.754763910181069,4.754763910181069,static_transform_control,static_square,0,4000
PE,0.9516781042662894,0.9451602805501649,0.0037174644387440656,1.753298201912741,1.753298201912741,static_transform_control,static_exp,0,4000
S_theta,0.6617089543759994,0.6557282241163458,0.008819487308889444,0.6781267493435192,0.6781267493435192,static_transform_control,static_exp,0,4000
gamma_R,0.2524785725212416,0.26428369359291537,0.007366566112978958,-1.6025269970596776,1.6025269970596776,static_transform_control,static_exp,0,4000
PE,0.9516781042662894,0.9550384028881811,0.002501858110385048,-1.3431211817901705,1.3431211817901705,static_transform_control,static_tanh,0,4000
S_theta,0.7098494660161122,0.7167646222432434,0.007787466334898004,-0.8879853767254593,0.8879853767254593,static_transform_control,static_tanh,0,4000
gamma_R,0.2524785725212416,0.24910665777753155,0.0013188597730694205,2.55668935588392,2.55668935588392,static_transform_control,static_tanh,0,4000
PE,0.9439115406570876,0.9450577356083943,0.002620141507854688,-0.43745536180800526,0.43745536180800526,static_transform_control,linear_AR1_original,1,4000
S_theta,0.7038026289389836,0.7101322354059529,0.007322725549435856,-0.8643784918932232,0.8643784918932232,static_transform_control,linear_AR1_original,1,4000
gamma_R,0.27235973192541696,0.26812054700192123,0.0037606919404691605,1.1272353573759826,1.1272353573759826,static_transform_control,linear_AR1_original,1,4000
PE,0.9749878302973124,0.9716210345238754,0.0024808100062889047,1.3571356794361993,1.3571356794361993,static_transform_control,static_square,1,4000
S_theta,0.7065290764551363,0.6865730962532165,0.0078635479786054,2.537783231718641,2.537783231718641,static_transform_control,static_square,1,4000
gamma_R,0.11107440151905035,0.13843847313589502,0.007522828219023178,-3.637471283426147,3.637471283426147,static_transform_control,static_square,1,4000
PE,0.9439115406570876,0.948408079001692,0.003169858670246309,-1.4185295978053805,1.4185295978053805,static_transform_control,static_exp,1,4000
S_theta,0.6496839389282214,0.6585146195006965,0.009578521554776592,-0.9219252179968616,0.9219252179968616,static_transform_control,static_exp,1,4000
gamma_R,0.27235973192541696,0.2680815866141569,0.007972922386071188,0.5365843418636643,0.5365843418636643,static_transform_control,static_exp,1,4000
PE,0.9439115406570876,0.9482593758967864,0.002730322608285362,-1.5924254615571862,1.5924254615571862,static_transform_control,static_tanh,1,4000
