measure,obs,mu_null,sigma_null,Z,absZ,experiment,lambda,rep,N
PE,0.9670094291306723,0.9663159101878375,0.0020172074648545707,0.3438014953433997,0.3438014953433997,nonlinear_ar1_sweep,0.0,0,4000
S_theta,0.7725079807920487,0.7783951782555897,0.006815820347657472,-0.8637547886021245,0.8637547886021245,nonlinear_ar1_sweep,0.0,0,4000
gamma_R,0.12778436553074857,0.12525157949007204,0.0033283502301728967,0.7609734149116143,0.7609734149116143,nonlinear_ar1_sweep,0.0,0,4000
PE,0.9683271246197068,0.9680336056927445,0.0018130716203336593,0.16189042047233693,0.16189042047233693,nonlinear_ar1_sweep,0.0,1,4000
S_theta,0.7744280958007179,0.7774268040499414,0.006327807133002262,-0.47389374963466735,0.47389374963466735,nonlinear_ar1_sweep,0.0,1,4000
gamma_R,0.1251343404913865,0.13003233860087027,0.003646887791357344,-1.343062465780109,1.343062465780109,nonlinear_ar1_sweep,0.0,1,4000
PE,0.9684636330761978,0.9699264652350078,0.0020291988706961535,-0.7208914709814492,0.7208914709814492,nonlinear_ar1_sweep,0.0,2,4000
S_theta,0.778012379248805,0.785884002003301,0.007226075151412734,-1.0893358551574297,1.0893358551574297,nonlinear_ar1_sweep,0.0,2,4000
gamma_R,0.12737401527473535,0.1284367259620278,0.003733708037750671,-0.28462608124352895,0.28462608124352895,nonlinear_ar1_sweep,0.0,2,4000
PE,0.9660393941815572,0.965923738665897,0.0019394354346694636,0.05963359934169945,0.05963359934169945,nonlinear_ar1_sweep,0.0,3,4000
S_theta,0.7725116558531793,0.7765391992755721,0.005484285595105338,-0.7343788634908806,0.7343788634908806,nonlinear_ar1_sweep,0.0,3,4000
gamma_R,0.13564476420639227,0.1396790784787507,0.0035957372000780838,-1.1219713922004135,1.1219713922004135,nonlinear_ar1_sweep,0.0,3,4000
PE,0.9696099000861278,0.9689965972649273,0.0016420905850989525,0.3734890308524463,0.3734890308524463,nonlinear_ar1_sweep,0.0,4,4000
S_theta,0.7705125811813383,0.7774780732779079,0.006665560971838251,-1.0449971316740705,1.0449971316740705,nonlinear_ar1_sweep,0.0,4,4000
gamma_R,0.13348950192436093,0.13783621786359615,0.0035680564390448617,-1.2182307128524001,1.2182307128524001,nonlinear_ar1_sweep,0.0,4,4000
PE,0.968885041488446,0.9686864656887447,0.0018530216951510362,0.10716323517469571,0.10716323517469571,nonlinear_ar1_sweep,0.0,5,4000
S_theta,0.7699251918470564,0.7795094835869705,0.005966842630460912,-1.6062585078054419,1.6062585078054419,nonlinear_ar1_sweep,0.0,5,4000
gamma_R,0.14044355540275766,0.1401712880465499,0.0034446673319938554,0.07904024684153045,0.07904024684153045,nonlinear_ar1_sweep,0.0,5,4000
PE,0.9678469256901685,0.9672349804797544,0.0017748427428840715,0.3447884117438389,0.3447884117438389,nonlinear_ar1_sweep,0.0,6,4000
S_theta,0.7609547252036549,0.774069166709457,0.006636213804981592,-1.9761933372245346,1.9761933372245346,nonlinear_ar1_sweep,0.0,6,4000
